Date,Site,Nitrate_NO2,Ammonium,Nitrite,DRP,Silicate,Nitrate,TP,TKN,TN,TN_TP
9/14/2020,Bridge,0,0.26,0.04,0.13,39.36,0,2.21,45.76,45.76,20.74
9/14/2020,ODNR 2,0,2.43,0.04,0.05,56.37,0,1.93,38.23,38.23,19.85
9/14/2020,Buoy 2,0,1.44,0.07,0.02,23.96,0,,,,
9/14/2020,ODNR 1,0,0.64,0.01,0,19.19,0,1.76,40.74,40.74,23.21
9/14/2020,EC 1163,0,1.34,0.1,0,24.87,0,1.71,35.42,35.42,20.78
9/14/2020,Bells,0,1.15,0.01,0,13.66,0,1.15,22.82,22.82,19.78
9/23/2020,Muddy Creek,,,,,,,26.38,27.39,,
9/25/2020,Bridge,0.41,0.84,0.07,0.09,61.81,0.31,,,,
10/13/2020,Muddy Creek,0,0.98,0.07,0.4,60.56,0,4.04,42.99,42.99,10.63
10/13/2020,ODNR 4,0,0.28,0.08,0.3,64.9,0,2.78,37.66,37.66,13.53
10/13/2020,ODNR 6,0,0.26,0.05,0.11,52.7,0,1.62,26.98,26.98,16.7
10/13/2020,Bridge,,,,,,,1.76,28.38,28.38,16.17
10/13/2020,ODNR 2,0,0.63,0.01,0,31.78,0,1.29,27.18,27.18,21.15
10/13/2020,Buoy 2,0,0.66,0.02,0,16.67,0,1.07,25.62,25.62,24.03
10/13/2020,ODNR 1,0,0.35,0.05,0,17.1,0,1.15,26.37,26.37,22.89
10/13/2020,EC 1163,0.25,1.85,0.05,0.05,14.6,0.2,1.24,22.32,22.57,18.23
10/13/2020,Bells,0.28,1.53,0.04,0.04,13.38,0.24,1.09,19.46,19.74,18.11
