date,site,rep,AlgalClass,Concentration,date1
5/11/2021,ODNR 2,A,Diatom_avg,15.4205,11-May-21
5/11/2021,ODNR 2,A,Cryptophyta_avg,6.9415,11-May-21
5/11/2021,ODNR 2,A,YellowSubstances_avg,3.128,11-May-21
5/11/2021,ODNR 2,A,Total_avg,49.6305,11-May-21
5/11/2021,ODNR 2,B,GreenAlgae_avg,29.402,11-May-21
5/11/2021,ODNR 2,B,Bluegreen_avg,0.8065,11-May-21
5/11/2021,ODNR 2,B,Diatom_avg,16.672,11-May-21
5/11/2021,ODNR 2,B,Cryptophyta_avg,6.693,11-May-21
5/11/2021,ODNR 2,B,YellowSubstances_avg,2.8685,11-May-21
5/11/2021,ODNR 2,B,Total_avg,53.573,11-May-21
5/11/2021,ODNR 2,C,GreenAlgae_avg,27.15,11-May-21
5/11/2021,ODNR 2,C,Bluegreen_avg,1.1275,11-May-21
5/11/2021,ODNR 2,C,Diatom_avg,15.847,11-May-21
5/11/2021,ODNR 2,C,Cryptophyta_avg,6.3335,11-May-21
5/11/2021,ODNR 2,C,YellowSubstances_avg,2.9295,11-May-21
5/11/2021,ODNR 2,C,Total_avg,50.458,11-May-21
5/11/2021,ODNR 2,I,GreenAlgae_avg,29.1755,11-May-21
5/11/2021,ODNR 2,I,Bluegreen_avg,0.856,11-May-21
5/11/2021,ODNR 2,I,Diatom_avg,16.546,11-May-21
5/11/2021,ODNR 2,I,Cryptophyta_avg,6.803,11-May-21
5/11/2021,ODNR 2,I,YellowSubstances_avg,2.9885,11-May-21
5/11/2021,ODNR 2,I,Total_avg,53.382,11-May-21
5/11/2021,ODNR 4,A,GreenAlgae_avg,3.3025,11-May-21
5/11/2021,ODNR 4,A,Bluegreen_avg,3.373,11-May-21
5/11/2021,ODNR 4,A,Diatom_avg,8.044,11-May-21
5/11/2021,ODNR 4,A,Cryptophyta_avg,0.0595,11-May-21
5/11/2021,ODNR 4,A,YellowSubstances_avg,0.906,11-May-21
5/11/2021,ODNR 4,A,Total_avg,14.7795,11-May-21
5/11/2021,ODNR 4,B,GreenAlgae_avg,3.1885,11-May-21
5/11/2021,ODNR 4,B,Bluegreen_avg,3.4615,11-May-21
5/11/2021,ODNR 4,B,Diatom_avg,7.82,11-May-21
5/11/2021,ODNR 4,B,Cryptophyta_avg,0.0835,11-May-21
5/11/2021,ODNR 4,B,YellowSubstances_avg,0.892,11-May-21
5/11/2021,ODNR 4,B,Total_avg,14.552,11-May-21
5/11/2021,ODNR 4,C,GreenAlgae_avg,2.6865,11-May-21
5/11/2021,ODNR 4,C,Bluegreen_avg,3.3835,11-May-21
5/11/2021,ODNR 4,C,Diatom_avg,7.45,11-May-21
5/11/2021,ODNR 4,C,Cryptophyta_avg,0.0635,11-May-21
5/11/2021,ODNR 4,C,YellowSubstances_avg,1.017,11-May-21
5/11/2021,ODNR 4,C,Total_avg,13.586,11-May-21
5/11/2021,ODNR 4,I,GreenAlgae_avg,2.7855,11-May-21
5/11/2021,ODNR 4,I,Bluegreen_avg,3.151,11-May-21
5/11/2021,ODNR 4,I,Diatom_avg,7.7975,11-May-21
5/11/2021,ODNR 4,I,Cryptophyta_avg,0.0795,11-May-21
5/11/2021,ODNR 4,I,YellowSubstances_avg,0.8335,11-May-21
5/11/2021,ODNR 4,I,Total_avg,13.8125,11-May-21
5/11/2021,ODNR 6,A,GreenAlgae_avg,12.052,11-May-21
5/11/2021,ODNR 6,A,Bluegreen_avg,0.0705,11-May-21
5/11/2021,ODNR 6,A,Diatom_avg,18.91,11-May-21
5/11/2021,ODNR 6,A,Cryptophyta_avg,2.741,11-May-21
5/11/2021,ODNR 6,A,YellowSubstances_avg,2.3935,11-May-21
5/11/2021,ODNR 6,A,Total_avg,33.7725,11-May-21
5/11/2021,ODNR 6,B,GreenAlgae_avg,12.2425,11-May-21
5/11/2021,ODNR 6,B,Bluegreen_avg,0.0265,11-May-21
5/11/2021,ODNR 6,B,Diatom_avg,20.5685,11-May-21
5/11/2021,ODNR 6,B,Cryptophyta_avg,2.956,11-May-21
5/11/2021,ODNR 6,B,YellowSubstances_avg,2.3555,11-May-21
5/11/2021,ODNR 6,B,Total_avg,35.793,11-May-21
5/11/2021,ODNR 6,C,GreenAlgae_avg,14.0315,11-May-21
5/11/2021,ODNR 6,C,Bluegreen_avg,0.0455,11-May-21
5/11/2021,ODNR 6,C,Diatom_avg,22.76,11-May-21
5/11/2021,ODNR 6,C,Cryptophyta_avg,3.5955,11-May-21
5/11/2021,ODNR 6,C,YellowSubstances_avg,2.2385,11-May-21
5/11/2021,ODNR 6,C,Total_avg,40.4335,11-May-21
5/11/2021,ODNR 6,I,GreenAlgae_avg,15.0405,11-May-21
5/11/2021,ODNR 6,I,Bluegreen_avg,0.218,11-May-21
5/11/2021,ODNR 6,I,Diatom_avg,24.544,11-May-21
5/11/2021,ODNR 6,I,Cryptophyta_avg,4.2215,11-May-21
5/11/2021,ODNR 6,I,YellowSubstances_avg,2.2175,11-May-21
5/11/2021,ODNR 6,I,Total_avg,44.0225,11-May-21
5/24/2021,Bells,A,GreenAlgae_avg,2.412666667,24-May-21
5/24/2021,Bells,A,Bluegreen_avg,0,24-May-21
5/24/2021,Bells,A,Diatom_avg,2.23,24-May-21
5/24/2021,Bells,A,Cryptophyta_avg,0.002,24-May-21
5/24/2021,Bells,A,YellowSubstances_avg,0.440666667,24-May-21
5/24/2021,Bells,A,Total_avg,4.644666667,24-May-21
5/24/2021,Bridge,A,GreenAlgae_avg,8.557333333,24-May-21
5/24/2021,Bridge,A,Bluegreen_avg,2.468666667,24-May-21
5/24/2021,Bridge,A,Diatom_avg,9.464666667,24-May-21
5/24/2021,Bridge,A,Cryptophyta_avg,4.922,24-May-21
5/24/2021,Bridge,A,YellowSubstances_avg,2.891333333,24-May-21
5/24/2021,Bridge,A,Total_avg,25.41266667,24-May-21
5/24/2021,Buoy 2,A,GreenAlgae_avg,4.524,24-May-21
5/24/2021,Buoy 2,A,Bluegreen_avg,0.39,24-May-21
5/24/2021,Buoy 2,A,Diatom_avg,0,24-May-21
5/24/2021,Buoy 2,A,Cryptophyta_avg,3.562,24-May-21
5/24/2021,Buoy 2,A,YellowSubstances_avg,1.691333333,24-May-21
5/24/2021,Buoy 2,A,Total_avg,8.475333333,24-May-21
5/24/2021,EC 1163,A,GreenAlgae_avg,4.954,24-May-21
5/24/2021,EC 1163,A,Bluegreen_avg,0.579,24-May-21
5/24/2021,EC 1163,A,Diatom_avg,0.998,24-May-21
5/24/2021,EC 1163,A,Cryptophyta_avg,2.273,24-May-21
5/24/2021,EC 1163,A,YellowSubstances_avg,1.554,24-May-21
5/24/2021,EC 1163,A,Total_avg,8.8,24-May-21
5/24/2021,Muddy Creek,A,GreenAlgae_avg,9.572,24-May-21
5/24/2021,Muddy Creek,A,Bluegreen_avg,1.896666667,24-May-21
5/24/2021,Muddy Creek,A,Diatom_avg,20.718,24-May-21
5/24/2021,Muddy Creek,A,Cryptophyta_avg,1.969333333,24-May-21
5/24/2021,Muddy Creek,A,YellowSubstances_avg,3.373333333,24-May-21
5/24/2021,Muddy Creek,A,Total_avg,34.15333333,24-May-21
5/24/2021,ODNR 1,A,GreenAlgae_avg,2.379333333,24-May-21
5/24/2021,ODNR 1,A,Bluegreen_avg,0.291333333,24-May-21
5/24/2021,ODNR 1,A,Diatom_avg,0,24-May-21
5/24/2021,ODNR 1,A,Cryptophyta_avg,2.567333333,24-May-21
5/24/2021,ODNR 1,A,YellowSubstances_avg,1.613333333,24-May-21
5/24/2021,ODNR 1,A,Total_avg,5.238666667,24-May-21
5/24/2021,ODNR 2,A,GreenAlgae_avg,1.985333333,24-May-21
5/24/2021,ODNR 2,A,Bluegreen_avg,0.454,24-May-21
5/24/2021,ODNR 2,A,Diatom_avg,0.054,24-May-21
5/24/2021,ODNR 2,A,Cryptophyta_avg,1.804,24-May-21
5/24/2021,ODNR 2,A,YellowSubstances_avg,1.611333333,24-May-21
5/24/2021,ODNR 2,A,Total_avg,4.298,24-May-21
5/24/2021,ODNR 4,A,GreenAlgae_avg,14.846,24-May-21
5/24/2021,ODNR 4,A,Bluegreen_avg,5.863333333,24-May-21
5/24/2021,ODNR 4,A,Diatom_avg,24.09933333,24-May-21
5/24/2021,ODNR 4,A,Cryptophyta_avg,6.724,24-May-21
5/24/2021,ODNR 4,A,YellowSubstances_avg,3.206,24-May-21
5/24/2021,ODNR 4,A,Total_avg,51.532,24-May-21
5/24/2021,ODNR 6,A,GreenAlgae_avg,15.71428571,24-May-21
5/24/2021,ODNR 6,A,Bluegreen_avg,1.135714286,24-May-21
5/24/2021,ODNR 6,A,Diatom_avg,9.064285714,24-May-21
5/24/2021,ODNR 6,A,Cryptophyta_avg,18.995,24-May-21
5/24/2021,ODNR 6,A,YellowSubstances_avg,3.466428571,24-May-21
5/24/2021,ODNR 6,A,Total_avg,44.90714286,24-May-21
6/7/2021,Bells,A,GreenAlgae_avg,2.337,7-Jun-21
6/7/2021,Bells,A,Bluegreen_avg,0.705,7-Jun-21
6/7/2021,Bells,A,Diatom_avg,1.1105,7-Jun-21
6/7/2021,Bells,A,Cryptophyta_avg,2.0325,7-Jun-21
6/7/2021,Bells,A,YellowSubstances_avg,0.586,7-Jun-21
6/7/2021,Bells,A,Total_avg,6.184,7-Jun-21
6/7/2021,Bridge,A,GreenAlgae_avg,8.7945,7-Jun-21
6/7/2021,Bridge,A,Bluegreen_avg,0.812,7-Jun-21
6/7/2021,Bridge,A,Diatom_avg,3.5075,7-Jun-21
6/7/2021,Bridge,A,Cryptophyta_avg,5.326,7-Jun-21
6/7/2021,Bridge,A,YellowSubstances_avg,2.6255,7-Jun-21
6/7/2021,Bridge,A,Total_avg,18.4395,7-Jun-21
6/7/2021,Buoy 2,A,GreenAlgae_avg,3.709,7-Jun-21
6/7/2021,Buoy 2,A,Bluegreen_avg,1.0535,7-Jun-21
6/7/2021,Buoy 2,A,Diatom_avg,1.5915,7-Jun-21
6/7/2021,Buoy 2,A,Cryptophyta_avg,3.282,7-Jun-21
6/7/2021,Buoy 2,A,YellowSubstances_avg,1.1905,7-Jun-21
6/7/2021,Buoy 2,A,Total_avg,9.636,7-Jun-21
6/7/2021,EC 1163,A,GreenAlgae_avg,0.9055,7-Jun-21
6/7/2021,EC 1163,A,Bluegreen_avg,1.253,7-Jun-21
6/7/2021,EC 1163,A,Diatom_avg,0.156,7-Jun-21
6/7/2021,EC 1163,A,Cryptophyta_avg,0.322,7-Jun-21
6/7/2021,EC 1163,A,YellowSubstances_avg,0.1765,7-Jun-21
6/7/2021,EC 1163,A,Total_avg,2.636,7-Jun-21
6/7/2021,Muddy Creek,A,GreenAlgae_avg,11.701,7-Jun-21
6/7/2021,Muddy Creek,A,Bluegreen_avg,0.7335,7-Jun-21
6/7/2021,Muddy Creek,A,Diatom_avg,11.497,7-Jun-21
6/7/2021,Muddy Creek,A,Cryptophyta_avg,2.8275,7-Jun-21
6/7/2021,Muddy Creek,A,YellowSubstances_avg,1.491,7-Jun-21
6/7/2021,Muddy Creek,A,Total_avg,26.7585,7-Jun-21
6/7/2021,ODNR 1,A,GreenAlgae_avg,3.5205,7-Jun-21
6/7/2021,ODNR 1,A,Bluegreen_avg,1.347,7-Jun-21
6/7/2021,ODNR 1,A,Diatom_avg,1.6995,7-Jun-21
6/7/2021,ODNR 1,A,Cryptophyta_avg,1.5305,7-Jun-21
6/7/2021,ODNR 1,A,YellowSubstances_avg,0.9905,7-Jun-21
6/7/2021,ODNR 1,A,Total_avg,8.099,7-Jun-21
6/7/2021,ODNR 2,A,GreenAlgae_avg,7.971,7-Jun-21
6/7/2021,ODNR 2,A,Bluegreen_avg,0.64,7-Jun-21
6/7/2021,ODNR 2,A,Diatom_avg,0.7705,7-Jun-21
6/7/2021,ODNR 2,A,Cryptophyta_avg,5.5325,7-Jun-21
6/7/2021,ODNR 2,A,YellowSubstances_avg,1.3725,7-Jun-21
6/7/2021,ODNR 2,A,Total_avg,14.9145,7-Jun-21
6/7/2021,ODNR 4,A,GreenAlgae_avg,17.33,7-Jun-21
6/7/2021,ODNR 4,A,Bluegreen_avg,0.345,7-Jun-21
6/7/2021,ODNR 4,A,Diatom_avg,31.699,7-Jun-21
6/7/2021,ODNR 4,A,Cryptophyta_avg,7.167,7-Jun-21
6/7/2021,ODNR 4,A,YellowSubstances_avg,1.8845,7-Jun-21
6/7/2021,ODNR 4,A,Total_avg,56.543,7-Jun-21
6/7/2021,ODNR 6,A,GreenAlgae_avg,5.752,7-Jun-21
6/7/2021,ODNR 6,A,Bluegreen_avg,0.769,7-Jun-21
6/7/2021,ODNR 6,A,Diatom_avg,0.385,7-Jun-21
6/7/2021,ODNR 6,A,Cryptophyta_avg,5.5045,7-Jun-21
6/7/2021,ODNR 6,A,YellowSubstances_avg,1.567,7-Jun-21
6/7/2021,ODNR 6,A,Total_avg,12.412,7-Jun-21
6/14/2021,Bells,A,GreenAlgae_avg,0.772,14-Jun-21
6/14/2021,Bells,A,Bluegreen_avg,0.2465,14-Jun-21
6/14/2021,Bells,A,Diatom_avg,0.5375,14-Jun-21
6/14/2021,Bells,A,Cryptophyta_avg,0.642,14-Jun-21
6/14/2021,Bells,A,YellowSubstances_avg,0.3635,14-Jun-21
6/14/2021,Bells,A,Total_avg,2.198,14-Jun-21
6/14/2021,Bridge,A,GreenAlgae_avg,10.687,14-Jun-21
6/14/2021,Bridge,A,Bluegreen_avg,2.081,14-Jun-21
6/14/2021,Bridge,A,Diatom_avg,4.5425,14-Jun-21
6/14/2021,Bridge,A,Cryptophyta_avg,3.095,14-Jun-21
6/14/2021,Bridge,A,YellowSubstances_avg,1.799,14-Jun-21
6/14/2021,Bridge,A,Total_avg,20.404,14-Jun-21
6/14/2021,Buoy 2,A,GreenAlgae_avg,6.6395,14-Jun-21
6/14/2021,Buoy 2,A,Bluegreen_avg,1.0925,14-Jun-21
6/14/2021,Buoy 2,A,Diatom_avg,1.475,14-Jun-21
6/14/2021,Buoy 2,A,Cryptophyta_avg,3.16,14-Jun-21
6/14/2021,Buoy 2,A,YellowSubstances_avg,1.3405,14-Jun-21
6/14/2021,Buoy 2,A,Total_avg,12.3665,14-Jun-21
6/14/2021,EC 1163,A,GreenAlgae_avg,12.8695,14-Jun-21
6/14/2021,EC 1163,A,Bluegreen_avg,2.299,14-Jun-21
6/14/2021,EC 1163,A,Diatom_avg,1.437,14-Jun-21
6/14/2021,EC 1163,A,Cryptophyta_avg,2.987,14-Jun-21
6/14/2021,EC 1163,A,YellowSubstances_avg,1.233,14-Jun-21
6/14/2021,EC 1163,A,Total_avg,19.592,14-Jun-21
6/14/2021,Muddy Creek,A,GreenAlgae_avg,10.736,14-Jun-21
6/14/2021,Muddy Creek,A,Bluegreen_avg,2.675,14-Jun-21
6/14/2021,Muddy Creek,A,Diatom_avg,17.8415,14-Jun-21
6/14/2021,Muddy Creek,A,Cryptophyta_avg,3.1505,14-Jun-21
6/14/2021,Muddy Creek,A,YellowSubstances_avg,1.0865,14-Jun-21
6/14/2021,Muddy Creek,A,Total_avg,34.404,14-Jun-21
6/14/2021,ODNR 1,A,GreenAlgae_avg,3.704,14-Jun-21
6/14/2021,ODNR 1,A,Bluegreen_avg,0.769,14-Jun-21
6/14/2021,ODNR 1,A,Diatom_avg,0.59,14-Jun-21
6/14/2021,ODNR 1,A,Cryptophyta_avg,0.4415,14-Jun-21
6/14/2021,ODNR 1,A,YellowSubstances_avg,0.8825,14-Jun-21
6/14/2021,ODNR 1,A,Total_avg,5.505,14-Jun-21
6/14/2021,ODNR 2,A,GreenAlgae_avg,5.909,14-Jun-21
6/14/2021,ODNR 2,A,Bluegreen_avg,0.8425,14-Jun-21
6/14/2021,ODNR 2,A,Diatom_avg,0.4215,14-Jun-21
6/14/2021,ODNR 2,A,Cryptophyta_avg,3.339,14-Jun-21
6/14/2021,ODNR 2,A,YellowSubstances_avg,0.9325,14-Jun-21
6/14/2021,ODNR 2,A,Total_avg,10.5135,14-Jun-21
6/14/2021,ODNR 4,A,GreenAlgae_avg,5.693,14-Jun-21
6/14/2021,ODNR 4,A,Bluegreen_avg,1.341,14-Jun-21
6/14/2021,ODNR 4,A,Diatom_avg,2.9355,14-Jun-21
6/14/2021,ODNR 4,A,Cryptophyta_avg,2.913,14-Jun-21
6/14/2021,ODNR 4,A,YellowSubstances_avg,2.1545,14-Jun-21
6/14/2021,ODNR 4,A,Total_avg,12.883,14-Jun-21
6/14/2021,ODNR 6,A,GreenAlgae_avg,10.785,14-Jun-21
6/14/2021,ODNR 6,A,Bluegreen_avg,0.648,14-Jun-21
6/14/2021,ODNR 6,A,Diatom_avg,1.376,14-Jun-21
6/14/2021,ODNR 6,A,Cryptophyta_avg,4.181,14-Jun-21
6/14/2021,ODNR 6,A,YellowSubstances_avg,1.646,14-Jun-21
6/14/2021,ODNR 6,A,Total_avg,16.992,14-Jun-21
6/21/2021,Bridge,A,GreenAlgae_avg,8.2785,21-Jun-21
6/21/2021,Bridge,A,Bluegreen_avg,9.4455,21-Jun-21
6/21/2021,Bridge,A,Diatom_avg,5.0435,21-Jun-21
6/21/2021,Bridge,A,Cryptophyta_avg,5.2795,21-Jun-21
