site,date,tot_diss,mc_elisa,mc_elisa_final,stx_elisa_final,notes
EC 1163,8/15/2022,T,0.081525674,,,belowdetection
EC 1163,8/15/2022,D,0.102294323,,,belowdetection
Causeway,8/15/2022,T,0.139867824,,,belowdetection
Causeway,8/15/2022,D,0.125934542,,,belowdetection
Muddy Creek,8/29/2022,T,0.131620332,,,belowdetection
Muddy Creek,8/29/2022,D,0.082413485,,,belowdetection
ODNR 6,8/29/2022,T,0.32587716,0.32587716,,
ODNR 6,8/29/2022,D,0.081206527,,,belowdetection
ODNR 4,8/29/2022,T,0.264667277,0.264667277,,
ODNR 4,8/29/2022,D,0.094607479,,,belowdetection
Bridge,8/29/2022,T,0.347676306,0.347676306,,
Bridge,8/29/2022,D,0.070533398,,,belowdetection
ODNR 2,8/29/2022,T,0.244356156,0.244356156,,
ODNR 2,8/29/2022,D,0.093364465,,,belowdetection
ODNR 1,8/29/2022,T,0.286531586,0.286531586,,
ODNR 1,8/29/2022,D,0.078697385,,,belowdetection
Buoy 2,8/29/2022,T,0.244045012,0.244045012,,
Buoy 2,8/29/2022,D,0.107549857,,,belowdetection
EC 1163,8/29/2022,T,0.193314459,0.193314459,,
EC 1163,8/29/2022,D,0.13999033,,,belowdetection
Causeway,8/29/2022,T,0.13999033,,,belowdetection
Causeway,8/29/2022,D,0.21659079,0.21659079,,
