site,date,doy,replicate,0,0.5,1,1.5,2,2.5,3,3.5,4,5.0,6,notes
Muddy_Creek,07/08/2025,189,1,1334.80,59.95,5.65,,,,,,,,,
Muddy_Creek,07/08/2025,189,2,1210.90,89.91,5.67,,,,,,,,,
ODNR_4,07/08/2025,189,1,882.00,49.23,1.43,0.35,,,,,,,,
ODNR_4,07/08/2025,189,2,1577.90,127.49,13.37,1.30,,,,,,,,
ODNR_6,07/08/2025,189,1,682.20,52.78,5.70,0.47,,,,,,,,
ODNR_6,07/08/2025,189,2,475.00,64.29,7.44,0.68,,,,,,,,
ODNR_2,07/08/2025,189,1,2247.00,242.30,59.92,12.20,1.77,,,,,,,
ODNR_2,07/08/2025,189,2,2251.00,272.00,41.87,8.87,1.83,,,,,,,
Buoy_2,07/08/2025,189,1,2088.00,352.50,73.41,21.18,5.88,2.88,,,,,,
Buoy_2,07/08/2025,189,2,1556.60,242.10,74.61,17.47,7.53,1.90,,,,,,
ODNR_1,07/08/2025,189,1,2023.00,442.30,78.33,22.73,8.34,2.51,,,,,,
ODNR_1,07/08/2025,189,2,2194.00,546.42,407.48,34.48,9.11,2.70,,,,,,
EC_1163,07/08/2025,189,1,1695.50,44.91,16.33,3.02,0.96,,,,,,,
EC_1163,07/08/2025,189,2,1220.60,69.33,13.45,5.82,0.98,,,,,,,
Causeway,07/08/2025,189,1,2313.00,500.80,114.21,,,,,,,,,
Causeway,07/08/2025,189,2,2085.00,432.90,13.19,,,,,,,,,
Bells,07/08/2025,189,1,1587.00,1200.87,1052.30,306.70,282.20,190.16,185.70,183.25,105.43,70.09,,
Bells,07/08/2025,189,2,1444.80,157.50,757.50,326.80,283.30,187.20,147.06,154.65,77.11,76.53,,
Muddy_Creek,,,avg,1272.85,74.93,5.66,,,,,,,,,
ODNR_4,,,avg,1229.95,88.36,7.40,0.83,,,,,,,,
ODNR_6,,,avg,578.60,58.54,6.57,0.58,,,,,,,,
ODNR_2,,,avg,2249.00,257.15,50.90,10.54,1.80,,,,,,,
Buoy_2,,,avg,1822.30,297.30,74.01,19.33,6.71,2.39,,,,,,
ODNR_1,,,avg,2108.50,494.36,242.91,28.61,8.73,2.61,,,,,,
EC_1163,,,avg,1458.05,57.12,14.89,4.42,0.97,,,,,,,
Causeway,,,avg,2199.00,466.85,63.70,,,,,,,,,
Bells,,,avg,1515.90,679.19,904.90,316.75,282.75,188.68,166.38,168.95,91.27,73.31,,
Muddy_Creek,07/15/2025,196,1,1879.00,54.85,2.93,,,,,,,,,
Muddy_Creek,07/15/2025,196,2,1785.50,45.43,2.45,,,,,,,,,
ODNR_4,07/15/2025,196,1,2237.00,107.62,8.96,0.92,,,,,,,,
ODNR_4,07/15/2025,196,2,1410.20,77.87,7.57,0.91,,,,,,,,
ODNR_6,07/15/2025,196,1,1136.20,129.64,13.99,2.94,0.38,,,,,,,
ODNR_6,07/15/2025,196,2,1574.20,153.89,17.44,2.17,0.41,,,,,,,
ODNR_2,07/15/2025,196,1,2070.00,350.70,70.00,18.42,6.72,,,,,,,
ODNR_2,07/15/2025,196,2,2263.00,372.70,49.71,17.00,7.06,,,,,,,
Buoy_2,07/15/2025,196,1,2500.00,526.80,125.00,41.52,8.60,1.25,,,,,,
Buoy_2,07/15/2025,196,2,1788.00,4033.80,105.48,35.40,12.80,4.04,,,,,,
ODNR_1,07/15/2025,196,1,2063.00,487.30,116.88,35.39,11.21,3.96,,,,,,
ODNR_1,07/15/2025,196,2,1888.77,508.60,129.53,34.76,12.31,3.92,,,,,,
EC_1163,07/15/2025,196,1,2661.00,477.20,126.90,39.54,11.34,5.46,2.43,,,,,
EC_1163,07/15/2025,196,2,514.70,374.40,109.06,28.25,12.31,5.89,2.58,,,,,
Causeway,07/15/2025,196,1,1466.60,106.38,52.04,,,,,,,,,
Causeway,07/15/2025,196,2,1068.10,62.03,44.57,,,,,,,,,
Bells,07/15/2025,196,1,1630.50,986.10,829.10,680.40,542.10,391.30,219.40,180.94,98.00,113.33,91.36,
Bells,07/15/2025,196,2,1412.50,934.70,689.60,593.50,433.60,268.10,268.10,221.00,172.00,125.55,92.23,
Muddy_Creek,,,avg,1832.25,50.14,2.69,,,,,,,,,
ODNR_4,,,avg,1823.60,92.75,8.27,0.92,,,,,,,,
ODNR_6,,,avg,1355.20,141.77,15.72,2.56,0.40,,,,,,,
ODNR_2,,,avg,2166.50,361.70,59.86,17.71,6.89,,,,,,,
Buoy_2,,,avg,2144.00,2280.30,115.24,38.46,10.70,2.65,,,,,,
ODNR_1,,,avg,1975.89,497.95,123.21,35.08,11.76,3.94,,,,,,
EC_1163,,,avg,1587.85,425.80,117.98,33.90,11.83,5.68,2.51,,,,,
Causeway,,,avg,1267.35,84.21,48.31,,,,,,,,,
Bells,,,avg,1521.50,960.40,759.35,636.95,487.85,329.70,243.75,200.97,135.00,119.44,91.80,
Muddy_Creek,07/22/2025,203,1,969.10,20.35,0.32,,,,,,,,,
Muddy_Creek,07/22/2025,203,2,2154.00,24.62,0.34,,,,,,,,,
ODNR_4,07/22/2025,203,1,2216.00,114.90,9.15,0.74,,,,,,,,
ODNR_4,07/22/2025,203,2,1748.70,97.31,8.76,0.75,,,,,,,,
ODNR_6,07/22/2025,203,1,2525.00,112.03,8.64,0.72,0.07,,,,,,,
ODNR_6,07/22/2025,203,2,2366.00,102.95,7.58,0.57,0.07,,,,,,,
ODNR_2,07/22/2025,203,1,2692.00,465.10,121.28,37.78,12.99,,,,,,,
ODNR_2,07/22/2025,203,2,2503.00,543.80,132.48,36.36,13.24,,,,,,,
Buoy_2,07/22/2025,203,1,2592.00,441.30,132.11,41.38,11.99,3.50,,,,,,
Buoy_2,07/22/2025,203,2,2560.00,565.00,145.14,44.53,13.77,4.21,,,,,,
ODNR_1,07/22/2025,203,1,2549.00,565.90,181.80,58.39,20.61,5.13,,,,,,
ODNR_1,07/22/2025,203,2,2404.00,661.80,187.70,60.83,19.43,5.06,,,,,,
EC_1163,07/22/2025,203,1,2581.00,782.70,318.10,144.88,74.06,34.89,11.98,,,,,
EC_1163,07/22/2025,203,2,2233.00,822.70,314.20,178.10,82.68,35.03,13.50,,,,,
Causeway,07/22/2025,203,1,2184.00,526.10,130.53,,,,,,,,,
Causeway,07/22/2025,203,2,2311.00,547.80,127.35,,,,,,,,,
Bells,07/22/2025,203,1,2258.00,1253.20,910.40,464.50,393.00,230.53,105.67,71.25,40.83,26.44,4.99,
Bells,07/22/2025,203,2,2281.00,1012.40,930.20,550.70,313.90,130.96,109.14,68.47,42.05,21.00,4.24,
Muddy_Creek,,,avg,1561.55,22.49,0.33,,,,,,,,,
ODNR_4,,,avg,1982.35,106.11,8.96,0.75,,,,,,,,
ODNR_6,,,avg,2445.50,107.49,8.11,0.65,0.07,,,,,,,
ODNR_2,,,avg,2597.50,504.45,126.88,37.07,13.12,,,,,,,
Buoy_2,,,avg,2576.00,503.15,138.63,42.96,12.88,3.86,,,,,,
ODNR_1,,,avg,2476.50,613.85,184.75,59.61,20.02,5.10,,,,,,
EC_1163,,,avg,2407.00,802.70,316.15,161.49,78.37,34.96,12.74,,,,,
Causeway,,,avg,2247.50,536.95,128.94,,,,,,,,,
Bells,,,avg,2269.50,1132.80,920.30,507.60,353.45,180.75,107.41,69.86,41.44,23.72,4.62,
Muddy_Creek,07/29/2025,210,1,391.40,16.77,0.60,,,,,,,,,
Muddy_Creek,07/29/2025,210,2,379.60,18.50,0.70,,,,,,,,,
ODNR_4,07/29/2025,210,1,1036.30,103.06,4.39,0.30,,,,,,,,
ODNR_4,07/29/2025,210,2,1124.50,120.20,2.69,0.12,,,,,,,,
ODNR_6,07/29/2025,210,1,1287.50,211.10,7.00,1.20,,,,,,,,
ODNR_6,07/29/2025,210,2,1157.40,192.30,10.90,1.20,,,,,,,,
ODNR_2,07/29/2025,210,1,589.70,51.78,36.50,13.31,3.08,,,,,,,
ODNR_2,07/29/2025,210,2,481.60,111.70,32.61,13.70,2.90,,,,,,,
Buoy_2,07/29/2025,210,1,559.10,119.86,17.41,7.89,2.67,,,,,,,
Buoy_2,07/29/2025,210,2,693.40,163.48,31.64,8.54,2.42,,,,,,,
ODNR_1,07/29/2025,210,1,1827.60,366.60,142.00,47.25,14.56,2.66,,,,,,
ODNR_1,07/29/2025,210,2,1478.30,369.80,109.93,45.49,13.60,3.14,,,,,,
EC_1163,07/29/2025,210,1,1170.30,202.40,142.52,73.26,24.58,9.26,3.01,,,,,
EC_1163,07/29/2025,210,2,1818.70,637.10,188.01,62.87,20.09,8.00,2.49,,,,,
Causeway,07/29/2025,210,1,2002.00,659.30,124.45,40.32,,,,,,,,
Causeway,07/29/2025,210,2,2345.00,665.70,126.24,27.37,,,,,,,,
Bells,07/29/2025,210,1,1477.50,1142.30,807.70,390.10,349.90,218.80,156.46,,,,,
Bells,07/29/2025,210,2,2094.00,1381.60,623.80,563.70,353.80,185.59,150.24,,,,,
Muddy_Creek,07/29/2025,210,avg,385.50,17.64,0.65,,,,,,,,,
ODNR_4,07/29/2025,210,avg,1080.40,111.63,3.54,0.21,,,,,,,,
ODNR_6,07/29/2025,210,avg,1222.45,201.70,8.95,1.20,,,,,,,,
ODNR_2,07/29/2025,210,avg,535.65,81.74,34.56,13.51,2.99,,,,,,,
Buoy_2,07/29/2025,210,avg,626.25,141.67,24.53,8.22,2.55,,,,,,,
ODNR_1,07/29/2025,210,avg,1652.95,368.20,125.97,46.37,14.08,2.90,,,,,,
EC_1163,07/29/2025,210,avg,1494.50,419.75,165.27,68.07,22.34,8.63,2.75,,,,,
Causeway,07/29/2025,210,avg,2173.50,662.50,125.35,33.85,,,,,,,,
Bells,07/29/2025,210,avg,1785.75,1261.95,715.75,476.90,351.85,202.20,153.35,,,,,
Muddy_Creek,08/05/2025,217,1,1153.20,69.42,6.68,,,,,,,,,
Muddy_Creek,08/05/2025,217,2,279.00,12.10,5.62,,,,,,,,,
ODNR_4,08/05/2025,217,1,747.90,82.44,11.66,0.66,,,,,,,,
ODNR_4,08/05/2025,217,2,1019.00,123.00,9.25,0.55,,,,,,,,
ODNR_6,08/05/2025,217,1,931.20,187.40,16.04,2.29,0.36,,,,,,,
ODNR_6,08/05/2025,217,2,987.00,187.01,21.27,2.12,0.42,,,,,,,
ODNR_2,08/05/2025,217,1,995.00,250.80,38.07,9.44,1.46,,,,,,,
ODNR_2,08/05/2025,217,2,1594.30,233.60,60.36,7.63,1.37,,,,,,,
Buoy_2,N/A,,1,,,,,,,,,,,,
Buoy_2,N/A,,2,,,,,,,,,,,,
ODNR_1,N/A,,1,,,,,,,,,,,,
ODNR_1,N/A,,2,,,,,,,,,,,,
EC_1163,08/05/2025,217,1,1349.30,353.30,108.25,34.07,3.68,1.16,0.78,,,,,
EC_1163,08/05/2025,217,2,1642.30,315.50,116.13,33.22,11.67,3.08,0.99,,,,,
Causeway,08/05/2025,217,1,1543.20,396.90,68.01,,,,,,,,,
Causeway,08/05/2025,217,2,778.40,344.40,59.09,,,,,,,,,
Bells,08/05/2025,217,1,743.00,416.42,109.84,58.92,24.65,15.75,7.24,,,,,
Bells,08/05/2025,217,2,874.40,561.70,181.84,61.72,33.63,10.12,5.65,,,,,
Muddy_Creek,,,avg,716.10,40.76,6.15,,,,,,,,,
ODNR_4,,,avg,883.45,102.72,10.46,0.61,,,,,,,,
ODNR_6,,,avg,959.10,187.21,18.66,2.21,0.39,,,,,,,
ODNR_2,,,avg,1294.65,242.20,49.22,8.54,1.42,,,,,,,
Buoy_2,,,avg,,,,,,,,,,,,
ODNR_1,,,avg,,,,,,,,,,,,
EC_1163,,,avg,1495.80,334.40,112.19,33.65,7.68,2.12,0.89,,,,,
Causeway,,,avg,1160.80,370.65,63.55,,,,,,,,,
Bells,,,avg,808.70,489.06,145.84,60.32,29.14,12.94,6.45,,,,,
Muddy_Creek,08/12/2025,224,1,24.85,1.61,,,,,,,,,,
Muddy_Creek,08/12/2025,224,2,67.66,2.01,,,,,,,,,,
ODNR_4,08/12/2025,224,1,1792.10,163.78,9.24,0.60,,,,,,,,
ODNR_4,08/12/2025,224,2,70.03,9.40,3.37,0.31,,,,,,,,
ODNR_6,08/12/2025,224,1,1681.20,153.40,16.77,2.05,,,,,,,,
ODNR_6,08/12/2025,224,2,1277.60,168.82,15.87,2.11,,,,,,,,
ODNR_2,08/12/2025,224,1,1337.80,411.10,103.61,21.66,5.71,,,,,,,
ODNR_2,08/12/2025,224,2,1241.80,333.20,82.75,19.08,5.40,,,,,,,
Buoy_2,08/12/2025,224,1,1614.30,564.20,150.58,46.67,14.39,2.99,,,,,,
Buoy_2,08/12/2025,224,2,1673.90,590.90,127.67,44.89,13.55,2.55,,,,,,
ODNR_1,08/12/2025,224,1,954.90,295.50,94.45,36.30,13.13,4.32,,,,,,
ODNR_1,08/12/2025,224,2,1343.70,433.20,128.02,37.03,13.12,4.32,,,,,,
EC_1163,08/12/2025,224,1,1121.10,440.20,116.79,34.60,11.09,3.40,1.37,,,,,
EC_1163,08/12/2025,224,2,926.10,420.10,101.28,33.95,10.82,3.74,1.33,,,,,
Causeway,08/12/2025,224,1,1603.80,119.20,95.03,,,,,,,,,
Causeway,08/12/2025,224,2,213.80,85.63,42.62,,,,,,,,,
Bells,08/12/2025,224,1,1840.40,1444.40,849.00,711.10,522.80,171.41,163.67,,,,,
Bells,08/12/2025,224,2,1563.80,1331.80,98.20,829.70,583.00,406.30,259.90,,,,,
Muddy_Creek,,,avg,46.26,1.81,,,,,,,,,,
ODNR_4,,,avg,931.07,86.59,6.31,0.46,,,,,,,,
ODNR_6,,,avg,1479.40,161.11,16.32,2.08,,,,,,,,
ODNR_2,,,avg,1289.80,372.15,93.18,20.37,5.56,,,,,,,
Buoy_2,,,avg,1644.10,577.55,139.13,45.78,13.97,2.77,,,,,,
ODNR_1,,,avg,1149.30,364.35,111.24,36.67,13.12,4.32,,,,,,
EC_1163,,,avg,1023.60,430.15,109.04,34.28,10.96,3.57,1.35,,,,,
Causeway,,,avg,908.80,102.42,68.83,,,,,,,,,
Bells,,,avg,1702.10,1388.10,473.60,770.40,552.90,288.86,211.79,,,,,
Muddy_Creek,08/20/2025,232,1,85.05,1.80,0.01,,,,,,,,,
Muddy_Creek,08/20/2025,232,2,84.10,1.94,0.00,,,,,,,,,
ODNR_4,08/20/2025,232,1,87.23,2.80,0.00,,,,,,,,,
ODNR_4,08/20/2025,232,2,77.30,4.43,0.00,,,,,,,,,
ODNR_6,08/20/2025,232,1,108.06,8.36,0.88,,,,,,,,,
ODNR_6,08/20/2025,232,2,121.78,9.66,0.92,,,,,,,,,
ODNR_2,08/20/2025,232,1,140.33,12.16,1.18,0.33,,,,,,,,
ODNR_2,08/20/2025,232,2,96.61,10.47,1.66,0.38,,,,,,,,
Buoy_2,08/20/2025,232,1,148.94,18.10,4.44,0.84,,,,,,,,
Buoy_2,08/20/2025,232,2,113.78,15.96,3.80,0.92,,,,,,,,
ODNR_1,08/20/2025,232,1,352.20,66.23,12.81,3.05,0.78,,,,,,,
ODNR_1,08/20/2025,232,2,132.78,36.58,9.68,3.13,0.82,,,,,,,
EC_1163,08/20/2025,232,1,149.30,34.20,10.40,2.71,0.77,,,,,,,
EC_1163,08/20/2025,232,2,172.20,36.50,14.33,3.09,0.86,,,,,,,
Causeway,08/20/2025,232,1,696.80,143.80,31.30,,,,,,,,,
Causeway,08/20/2025,232,2,828.70,139.70,33.70,,,,,,,,,
Bells,08/20/2025,232,1,,,,,,,,,,,,
Bells,08/20/2025,232,2,,,,,,,,,,,,
Muddy_Creek,,,avg,84.58,1.87,0.01,,,,,,,,,
ODNR_4,,,avg,82.27,3.62,0.00,,,,,,,,,
ODNR_6,,,avg,114.92,9.01,0.90,,,,,,,,,
ODNR_2,,,avg,118.47,11.32,1.42,0.36,,,,,,,,
Buoy_2,,,avg,131.36,17.03,4.12,0.88,,,,,,,,
ODNR_1,,,avg,242.49,51.41,11.25,3.09,0.80,,,,,,,
