 ,site,rep,vol_filtered,date_extracted,vol_extracted,chl_concentration,dilution_factor,fInal_chl,average,notes
06/24/2025,ODNR_2,2,10,06/26/2025,10,70.64,0,70.64,,
06/24/2025,ODNR_2,3,10,06/26/2025,10,69.66,0,69.66,,
06/24/2025,Buoy_2,1,10,06/26/2025,10,60.01,0,60.01,62.37,
06/24/2025,Buoy_2,2,10,06/26/2025,10,69.37,0,69.37,,
06/24/2025,Buoy_2,3,10,06/26/2025,10,57.74,0,57.74,,
06/24/2025,ODNR_1,1,10,06/26/2025,10,58.36,0,58.36,58.21,
06/24/2025,ODNR_1,2,10,06/26/2025,10,59.5,0,59.50,,
06/24/2025,ODNR_1,3,10,06/26/2025,10,56.78,0,56.78,,
06/24/2025,EC_1163,1,10,06/26/2025,10,74.75,0,74.75,79.28,
06/24/2025,EC_1163,2,10,06/26/2025,10,83.15,0,83.15,,
06/24/2025,EC_1163,3,10,06/26/2025,10,79.93,0,79.93,,
06/24/2025,Causeway,1,10,06/26/2025,10,61.22,0,61.22,62.86,
06/24/2025,Causeway,2,10,06/26/2025,10,64.15,0,64.15,,
06/24/2025,Causeway,3,10,06/26/2025,10,63.22,0,63.22,,
06/24/2025,Bells,1,10,06/26/2025,10,24.73,0,24.73,26.06,
06/24/2025,Bells,2,10,06/26/2025,10,22.73,0,22.73,,
06/24/2025,Bells,3,10,06/26/2025,10,30.71,0,30.71,,
07/01/2025,Muddy Creek,1,10,07/03/2025,10,34.57,0,34.57,46.67,
07/01/2025,Muddy Creek,2,10,07/03/2025,10,52.77,0,52.77,,
07/01/2025,Muddy Creek,3,10,07/03/2025,10,52.66,0,52.66,,
07/01/2025,ODNR_4,1,10,07/03/2025,10,133.05,0,133.05,124.72,
07/01/2025,ODNR_4,2,10,07/03/2025,10,153.91,0,153.91,,
07/01/2025,ODNR_4,3,10,07/03/2025,10,87.19,0,87.19,,
07/01/2025,ODNR_6,1,10,07/03/2025,10,98.27,0,98.27,104.79,
07/01/2025,ODNR_6,2,10,07/03/2025,10,118.67,0,118.67,,
07/01/2025,ODNR_6,3,10,07/03/2025,10,97.43,0,97.43,,
07/01/2025,Bridge,1,10,07/03/2025,10,84.27,0,84.27,118.95,
07/01/2025,Bridge,2,10,07/03/2025,10,139.27,0,139.27,,
07/01/2025,Bridge,3,10,07/03/2025,10,133.31,0,133.31,,
07/01/2025,ODNR_2,1,10,07/03/2025,10,92.34,0,92.34,101.27,
07/01/2025,ODNR_2,2,10,07/03/2025,10,102.08,0,102.08,,
07/01/2025,ODNR_2,3,10,07/03/2025,10,109.4,0,109.40,,
07/01/2025,Buoy_2,1,10,07/03/2025,10,118.73,0,118.73,104.66,
07/01/2025,Buoy_2,2,10,07/03/2025,10,110.99,0,110.99,,
07/01/2025,Buoy_2,3,10,07/03/2025,10,84.25,0,84.25,,
07/01/2025,ODNR_1,1,10,07/03/2025,10,85.37,0,85.37,88.28,
07/01/2025,ODNR_1,2,10,07/03/2025,10,107.1,0,107.10,,
07/01/2025,ODNR_1,3,10,07/03/2025,10,72.38,0,72.38,,
07/01/2025,EC_1163,1,10,07/03/2025,10,163.56,0,163.56,110.04,
07/01/2025,EC_1163,2,10,07/03/2025,10,60.78,0,60.78,,
07/01/2025,EC_1163,3,10,07/03/2025,10,105.78,0,105.78,,
07/01/2025,Causeway,1,10,07/03/2025,10,88.19,0,88.19,68.02,
07/01/2025,Causeway,2,10,07/03/2025,10,88.9,0,88.90,,
07/01/2025,Causeway,3,10,07/03/2025,10,26.97,0,26.97,,
07/01/2025,Bells,1,10,07/03/2025,10,14.74,0,14.74,14.27,
07/01/2025,Bells,2,10,07/03/2025,10,14.89,0,14.89,,
07/01/2025,Bells,3,10,07/03/2025,10,13.18,0,13.18,,
07/08/2025,Muddy Creek,1,10,07/10/2025,10,142.79,0,142.79,150.43,
07/08/2025,Muddy Creek,2,10,07/10/2025,10,154.48,0,154.48,,
07/08/2025,Muddy Creek,3,10,07/10/2025,10,154.01,0,154.01,,
07/08/2025,ODNR_4,1,10,07/10/2025,10,210.16,0,210.16,200.65,
07/08/2025,ODNR_4,2,10,07/10/2025,10,201.88,0,201.88,,
07/08/2025,ODNR_4,3,10,07/10/2025,10,189.91,0,189.91,,
07/08/2025,ODNR_6,1,10,07/10/2025,10,247.14,0,247.14,247.14,
07/08/2025,ODNR_6,2,10,07/10/2025,10,over,0,,,
07/08/2025,ODNR_6,3,10,07/10/2025,10,over,0,,,
07/08/2025,Bridge,1,10,07/10/2025,10,219.67,0,219.67,220.01,
07/08/2025,Bridge,2,10,07/10/2025,10,218.12,0,218.12,,
07/08/2025,Bridge,3,10,07/10/2025,10,222.24,0,222.24,,
07/08/2025,ODNR_2,1,10,07/10/2025,10,206.17,0,206.17,175.85,
07/08/2025,ODNR_2,2,10,07/10/2025,10,201.86,0,201.86,,
07/08/2025,ODNR_2,3,10,07/10/2025,10,119.51,0,119.51,,
07/08/2025,Buoy_2,1,10,07/10/2025,10,185.28,0,185.28,167.07,
07/08/2025,Buoy_2,2,10,07/10/2025,10,69.21,0,69.21,,
07/08/2025,Buoy_2,3,10,07/10/2025,10,246.71,0,246.71,,
07/08/2025,ODNR_1,1,10,07/10/2025,10,129.7,0,129.70,126.16,
07/08/2025,ODNR_1,2,10,07/10/2025,10,124.27,0,124.27,,
07/08/2025,ODNR_1,3,10,07/10/2025,10,124.52,0,124.52,,
07/08/2025,EC_1163,1,10,07/10/2025,10,104,0,104.00,92.41,
07/08/2025,EC_1163,2,10,07/10/2025,10,139.04,0,139.04,,
07/08/2025,EC_1163,3,10,07/10/2025,10,34.18,0,34.18,,
07/08/2025,Causeway,1,10,07/10/2025,10,115.9,0,115.90,112.88,
07/08/2025,Causeway,2,10,07/10/2025,10,107.6,0,107.60,,
07/08/2025,Causeway,3,10,07/10/2025,10,115.15,0,115.15,,
07/08/2025,Bells,1,10,07/10/2025,10,7.39,0,7.39,7.61,
07/08/2025,Bells,2,10,07/10/2025,10,7.09,0,7.09,,
07/08/2025,Bells,3,10,07/10/2025,10,8.35,0,8.35,,
07/15/2025,Muddy Creek,1,10,07/18/2025,10,238.61,0,238.61,224.38,
07/15/2025,Muddy Creek,2,10,07/18/2025,10,224.7,0,224.70,,
07/15/2025,Muddy Creek,3,10,07/18/2025,10,209.82,0,209.82,,
07/15/2025,ODNR_4,1,10,07/18/2025,10,255.86,0,255.86,256.81,
07/15/2025,ODNR_4,2,10,07/18/2025,10,253.34,0,253.34,,
07/15/2025,ODNR_4,3,10,07/18/2025,10,261.24,0,261.24,,
07/15/2025,ODNR_6,1,10,07/18/2025,10,over,0,,237.11,
07/15/2025,ODNR_6,2,10,07/18/2025,10,241.04,0,241.04,,
07/15/2025,ODNR_6,3,10,07/18/2025,10,233.17,0,233.17,,
07/15/2025,Bridge,1,10,07/18/2025,10,176.91,0,176.91,171.30,
07/15/2025,Bridge,2,10,07/18/2025,10,163.7,0,163.70,,
07/15/2025,Bridge,3,10,07/18/2025,10,173.28,0,173.28,,
07/15/2025,ODNR_2,1,10,07/18/2025,10,125.56,0,125.56,119.32,
07/15/2025,ODNR_2,2,10,07/18/2025,10,126.22,0,126.22,,
07/15/2025,ODNR_2,3,10,07/18/2025,10,106.17,0,106.17,,
07/15/2025,Buoy_2,1,10,07/18/2025,10,97.47,0,97.47,105.39,
07/15/2025,Buoy_2,2,10,07/18/2025,10,107.63,0,107.63,,
07/15/2025,Buoy_2,3,10,07/18/2025,10,111.07,0,111.07,,
07/15/2025,ODNR_1,1,10,07/18/2025,10,124.91,0,124.91,121.87,
07/15/2025,ODNR_1,2,10,07/18/2025,10,116.61,0,116.61,,
07/15/2025,ODNR_1,3,10,07/18/2025,10,124.08,0,124.08,,
07/15/2025,EC_1163,1,10,07/18/2025,10,115.6,0,115.60,132.55,
07/15/2025,EC_1163,2,10,07/18/2025,10,131.86,0,131.86,,
07/15/2025,EC_1163,3,10,07/18/2025,10,150.2,0,150.20,,
07/15/2025,Causeway,1,10,07/18/2025,10,106.99,0,106.99,101.70,
07/15/2025,Causeway,2,10,07/18/2025,10,101.37,0,101.37,,
07/15/2025,Causeway,3,10,07/18/2025,10,96.75,0,96.75,,
07/15/2025,Bells,1,10,07/18/2025,10,10.51,0,10.51,11.13,
07/15/2025,Bells,2,10,07/18/2025,10,10.35,0,10.35,,
07/15/2025,Bells,3,10,07/18/2025,10,12.53,0,12.53,,
07/22/2025,Muddy Creek,1,10,07/24/2025,10,230.91,0,230.91,242.31,
07/22/2025,Muddy Creek,2,10,07/24/2025,10,252.03,0,252.03,,
07/22/2025,Muddy Creek,3,10,07/24/2025,10,243.98,0,243.98,,
07/22/2025,ODNR_4,1,10,07/24/2025,10,254.21,0,254.21,253.92,
07/22/2025,ODNR_4,2,10,07/24/2025,10,249.12,0,249.12,,
07/22/2025,ODNR_4,3,10,07/24/2025,10,258.44,0,258.44,,
07/22/2025,ODNR_6,1,10,07/24/2025,10,over,0,,NA,
07/22/2025,ODNR_6,2,10,07/24/2025,10,over,0,,,
07/22/2025,ODNR_6,3,10,07/24/2025,10,over,0,,,
07/22/2025,Bridge,1,10,07/24/2025,10,221.93,0,221.93,217.64,
07/22/2025,Bridge,2,10,07/24/2025,10,213.78,0,213.78,,
07/22/2025,Bridge,3,10,07/24/2025,10,217.2,0,217.20,,
07/22/2025,ODNR_2,1,10,07/24/2025,10,115.74,0,115.74,115.71,
07/22/2025,ODNR_2,2,10,07/24/2025,10,116.96,0,116.96,,
07/22/2025,ODNR_2,3,10,07/24/2025,10,114.42,0,114.42,,
07/22/2025,Buoy_2,1,10,07/24/2025,10,83.76,0,83.76,63.54,
07/22/2025,Buoy_2,2,10,07/24/2025,10,21.12,0,21.12,,
07/22/2025,Buoy_2,3,10,07/24/2025,10,85.75,0,85.75,,
07/22/2025,ODNR_1,1,10,07/24/2025,10,89.3,0,89.30,91.25,
07/22/2025,ODNR_1,2,10,07/24/2025,10,89.85,0,89.85,,
07/22/2025,ODNR_1,3,10,07/24/2025,10,94.6,0,94.60,,
07/22/2025,EC_1163,1,10,07/24/2025,10,68.54,0,68.54,70.53,
07/22/2025,EC_1163,2,10,07/24/2025,10,69.9,0,69.90,,
07/22/2025,EC_1163,3,10,07/24/2025,10,73.15,0,73.15,,
07/22/2025,Causeway,1,10,07/24/2025,10,54.3,0,54.30,85.29,
07/22/2025,Causeway,2,10,07/24/2025,10,101.89,0,101.89,,
07/22/2025,Causeway,3,10,07/24/2025,10,99.67,0,99.67,,
07/22/2025,Bells,1,10,07/24/2025,10,29.72,0,29.72,29.25,
07/22/2025,Bells,2,10,07/24/2025,10,27.2,0,27.20,,
07/22/2025,Bells,3,10,07/24/2025,10,30.83,0,30.83,,
07/29/2025,Muddy Creek,1,10,07/31/2025,10,141.55,0,141.55,141.54,
07/29/2025,Muddy Creek,2,10,07/31/2025,10,142.28,0,142.28,,
07/29/2025,Muddy Creek,3,10,07/31/2025,10,140.78,0,140.78,,
07/29/2025,ODNR_4,1,10,07/31/2025,10,271.08,0,271.08,271.08,
07/29/2025,ODNR_4,2,10,07/31/2025,10,over,0,,,
07/29/2025,ODNR_4,3,10,07/31/2025,10,over,0,,,
07/29/2025,ODNR_6,1,10,07/31/2025,10,187.89,0,187.89,195.58,
07/29/2025,ODNR_6,2,10,07/31/2025,10,205.7,0,205.70,,
07/29/2025,ODNR_6,3,10,07/31/2025,10,193.14,0,193.14,,
07/29/2025,Bridge,1,10,07/31/2025,10,149.91,0,149.91,151.76,
07/29/2025,Bridge,2,10,07/31/2025,10,152.72,0,152.72,,
07/29/2025,Bridge,3,10,07/31/2025,10,152.66,0,152.66,,
07/29/2025,ODNR_2,1,10,07/31/2025,10,101.85,0,101.85,105.17,
07/29/2025,ODNR_2,2,10,07/31/2025,10,112.05,0,112.05,,
07/29/2025,ODNR_2,3,10,07/31/2025,10,101.6,0,101.60,,
07/29/2025,Buoy_2,1,10,07/31/2025,10,109.02,0,109.02,104.88,
07/29/2025,Buoy_2,2,10,07/31/2025,10,101.31,0,101.31,,
07/29/2025,Buoy_2,3,10,07/31/2025,10,104.3,0,104.30,,
07/29/2025,ODNR_1,1,10,07/31/2025,10,97.54,0,97.54,98.23,
07/29/2025,ODNR_1,2,10,07/31/2025,10,102.16,0,102.16,,
07/29/2025,ODNR_1,3,10,07/31/2025,10,95,0,95.00,,
07/29/2025,EC_1163,1,10,07/31/2025,10,82.89,0,82.89,94.25,
07/29/2025,EC_1163,2,10,07/31/2025,10,98.03,0,98.03,,
07/29/2025,EC_1163,3,10,07/31/2025,10,101.83,0,101.83,,
07/29/2025,Causeway,1,10,07/31/2025,10,82.25,0,82.25,88.39,
07/29/2025,Causeway,2,10,07/31/2025,10,95.11,0,95.11,,
07/29/2025,Causeway,3,10,07/31/2025,10,87.8,0,87.80,,
07/29/2025,Bells,1,10,07/31/2025,10,30.41,0,30.41,32.29,
07/29/2025,Bells,2,10,07/31/2025,10,29.28,0,29.28,,
07/29/2025,Bells,3,10,07/31/2025,10,37.18,0,37.18,,
08/05/2025,Muddy Creek,1,10,08/12/2025,10,183.89,0,183.89,182.25,
08/05/2025,Muddy Creek,2,10,08/12/2025,10,174.29,0,174.29,,
08/05/2025,Muddy Creek,3,10,08/12/2025,10,188.57,0,188.57,,
08/05/2025,ODNR_4,1,10,08/12/2025,10,188.5,0,188.50,208.51,
08/05/2025,ODNR_4,2,10,08/12/2025,10,209.41,0,209.41,,
08/05/2025,ODNR_4,3,10,08/12/2025,10,227.62,0,227.62,,
08/05/2025,ODNR_6,1,10,08/12/2025,10,225.11,0,225.11,230.70,
08/05/2025,ODNR_6,2,10,08/12/2025,10,246.31,0,246.31,,
08/05/2025,ODNR_6,3,10,08/12/2025,10,220.69,0,220.69,,
08/05/2025,Bridge,1,10,08/12/2025,10,202.84,0,202.84,212.22,
08/05/2025,Bridge,2,10,08/12/2025,10,221.09,0,221.09,,
08/05/2025,Bridge,3,10,08/12/2025,10,212.73,0,212.73,,
08/05/2025,ODNR_2,1,10,08/12/2025,10,161.49,0,161.49,169.31,
08/05/2025,ODNR_2,2,10,08/12/2025,10,170.85,0,170.85,,
08/05/2025,ODNR_2,3,10,08/12/2025,10,175.59,0,175.59,,
08/05/2025,Buoy_2,1,10,08/12/2025,10,N/A,0,,N/A,
08/05/2025,Buoy_2,2,10,08/12/2025,10,N/A,0,,,
08/05/2025,Buoy_2,3,10,08/12/2025,10,N/A,0,,,
08/05/2025,ODNR_1,1,10,08/12/2025,10,N/A,0,,N/A,
08/05/2025,ODNR_1,2,10,08/12/2025,10,N/A,0,,,
08/05/2025,ODNR_1,3,10,08/12/2025,10,N/A,0,,,
08/05/2025,EC_1163,1,10,08/12/2025,10,159.62,0,159.62,151.98,
08/05/2025,EC_1163,2,10,08/12/2025,10,156.08,0,156.08,,
08/05/2025,EC_1163,3,10,08/12/2025,10,140.23,0,140.23,,
08/05/2025,Causeway,1,10,08/12/2025,10,102.47,0,102.47,106.22,
08/05/2025,Causeway,2,10,08/12/2025,10,107,0,107.00,,
08/05/2025,Causeway,3,10,08/12/2025,10,109.19,0,109.19,,
08/05/2025,Bells,1,10,08/12/2025,10,62.73,0,62.73,66.81,
08/05/2025,Bells,2,10,08/12/2025,10,73.12,0,73.12,,
08/05/2025,Bells,3,10,08/12/2025,10,64.59,0,64.59,,
08/12/2025,Muddy Creek,1,10,08/14/2025,10,207.05,0,207.05,184.14,
08/12/2025,Muddy Creek,2,10,08/14/2025,10,174.87,0,174.87,,
08/12/2025,Muddy Creek,3,10,08/14/2025,10,170.49,0,170.49,,
08/12/2025,ODNR_4,1,10,08/14/2025,10,178.36,0,178.36,196.37,
08/12/2025,ODNR_4,2,10,08/14/2025,10,206.61,0,206.61,,
08/12/2025,ODNR_4,3,10,08/14/2025,10,204.13,0,204.13,,
08/12/2025,ODNR_6,1,10,08/14/2025,10,184.69,0,184.69,176.26,
08/12/2025,ODNR_6,2,10,08/14/2025,10,183.08,0,183.08,,
08/12/2025,ODNR_6,3,10,08/14/2025,10,161.02,0,161.02,,
08/12/2025,Bridge,1,10,08/14/2025,10,168.94,0,168.94,161.92,
08/12/2025,Bridge,2,10,08/14/2025,10,161.77,0,161.77,,
08/12/2025,Bridge,3,10,08/14/2025,10,155.04,0,155.04,,
08/12/2025,ODNR_2,1,10,08/14/2025,10,143.46,0,143.46,141.18,
08/12/2025,ODNR_2,2,10,08/14/2025,10,136.49,0,136.49,,
08/12/2025,ODNR_2,3,10,08/14/2025,10,143.59,0,143.59,,
08/12/2025,Buoy_2,1,10,08/14/2025,10,106.84,0,106.84,108.10,
08/12/2025,Buoy_2,2,10,08/14/2025,10,109.11,0,109.11,,
08/12/2025,Buoy_2,3,10,08/14/2025,10,108.35,0,108.35,,
08/12/2025,ODNR_1,1,10,08/14/2025,10,32.2,0,32.20,88.71,
08/12/2025,ODNR_1,2,10,08/14/2025,10,116.42,0,116.42,,
08/12/2025,ODNR_1,3,10,08/14/2025,10,117.51,0,117.51,,
08/12/2025,EC_1163,1,10,08/14/2025,10,-0.67,0,-0.67,-0.63,
08/12/2025,EC_1163,2,10,08/14/2025,10,-0.64,0,-0.64,,
08/12/2025,EC_1163,3,10,08/14/2025,10,-0.59,0,-0.59,,
08/12/2025,Causeway,1,10,08/14/2025,10,98.81,0,98.81,94.03,
08/12/2025,Causeway,2,10,08/14/2025,10,92.74,0,92.74,,
08/12/2025,Causeway,3,10,08/14/2025,10,90.53,0,90.53,,
08/12/2025,Bells,1,10,08/14/2025,10,29.21,0,29.21,20.86,
08/12/2025,Bells,2,10,08/14/2025,10,7.05,0,7.05,,
08/12/2025,Bells,3,10,08/14/2025,10,26.32,0,26.32,,
08/20/2025,Muddy Creek,1,10,08/22/2025,10,193.87,0,193.87,178.86,
08/20/2025,Muddy Creek,2,10,08/22/2025,10,168.42,0,168.42,,
08/20/2025,Muddy Creek,3,10,08/22/2025,10,174.3,0,174.30,,
08/20/2025,ODNR_4,1,10,08/22/2025,10,133.82,0,133.82,98.39,
08/20/2025,ODNR_4,2,10,08/22/2025,10,145.61,0,145.61,,
08/20/2025,ODNR_4,3,10,08/22/2025,10,15.75,0,15.75,,
08/20/2025,ODNR_6,1,10,08/22/2025,10,161.4,0,161.40,154.47,
08/20/2025,ODNR_6,2,10,08/22/2025,10,154.96,0,154.96,,
08/20/2025,ODNR_6,3,10,08/22/2025,10,147.06,0,147.06,,
08/20/2025,Bridge,1,10,08/22/2025,10,132.91,0,132.91,141.14,
08/20/2025,Bridge,2,10,08/22/2025,10,140.27,0,140.27,,
08/20/2025,Bridge,3,10,08/22/2025,10,150.24,0,150.24,,
08/20/2025,ODNR_2,1,10,08/22/2025,10,197.23,0,197.23,205.92,
08/20/2025,ODNR_2,2,10,08/22/2025,10,212.7,0,212.70,,
08/20/2025,ODNR_2,3,10,08/22/2025,10,207.83,0,207.83,,
08/20/2025,Buoy_2,1,10,08/22/2025,10,3.66,0,3.66,86.78,
08/20/2025,Buoy_2,2,10,08/22/2025,10,131.33,0,131.33,,
08/20/2025,Buoy_2,3,10,08/22/2025,10,125.36,0,125.36,,
08/20/2025,ODNR_1,1,10,08/22/2025,10,143.47,0,143.47,139.22,
08/20/2025,ODNR_1,2,10,08/22/2025,10,142.43,0,142.43,,
08/20/2025,ODNR_1,3,10,08/22/2025,10,131.76,0,131.76,,
08/20/2025,EC_1163,1,10,08/22/2025,10,90.92,0,90.92,87.62,
08/20/2025,EC_1163,2,10,08/22/2025,10,85.21,0,85.21,,
08/20/2025,EC_1163,3,10,08/22/2025,10,86.72,0,86.72,,
