"Site","Date","rep","Depth","LightValue","Light_0","DOY"
"EC_1163",2021-05-24,"avg",1,132.775,483.2,144
"EC_1163",2021-05-24,"avg",1.5,57.5,483.2,144
"EC_1163",2021-05-24,"avg",2,29.905,483.2,144
"EC_1163",2021-05-24,"avg",2.5,11.85,483.2,144
"EC_1163",2021-05-24,"avg",3,4.71,483.2,144
"Bells",2021-05-24,"avg",0,515,515,144
"Bells",2021-05-24,"avg",0.5,408.75,515,144
"Bells",2021-05-24,"avg",1,312.2,515,144
"Bells",2021-05-24,"avg",1.5,375.05,515,144
"Bells",2021-05-24,"avg",2,402.55,515,144
"Bells",2021-05-24,"avg",2.5,343.7,515,144
"Bells",2021-05-24,"avg",3,321.95,515,144
"Bells",2021-05-24,"avg",3.5,264.81,515,144
"Bells",2021-05-24,"avg",4,214.715,515,144
"Bells",2021-05-24,"avg",5,187.405,515,144
"Bells",2021-05-24,"avg",6,136.2,515,144
"Muddy_Creek",2021-06-07,"avg",0,862.95,862.95,158
"Muddy_Creek",2021-06-07,"avg",0.5,32.71,862.95,158
"Muddy_Creek",2021-06-07,"avg",1,1.585,862.95,158
"Muddy_Creek",2021-06-07,"avg",1.5,0.35,862.95,158
"ODNR_4",2021-06-07,"avg",0,14.505,14.505,158
"ODNR_4",2021-06-07,"avg",0.5,6.24,14.505,158
"ODNR_4",2021-06-07,"avg",1,0.555,14.505,158
"ODNR_6",2021-06-07,"avg",0,477.25,477.25,158
"ODNR_6",2021-06-07,"avg",0.5,150.765,477.25,158
"ODNR_6",2021-06-07,"avg",1,45.165,477.25,158
"ODNR_6",2021-06-07,"avg",1.5,13.71,477.25,158
"ODNR_6",2021-06-07,"avg",2,5.665,477.25,158
"ODNR_6",2021-06-07,"avg",2.5,1.35,477.25,158
"ODNR_2",2021-06-07,"avg",0,910.85,910.85,158
"ODNR_2",2021-06-07,"avg",0.5,213.4,910.85,158
"ODNR_2",2021-06-07,"avg",1,120.93,910.85,158
"ODNR_2",2021-06-07,"avg",1.5,35.19,910.85,158
"ODNR_2",2021-06-07,"avg",2,11.81,910.85,158
"ODNR_2",2021-06-07,"avg",2.5,4.22,910.85,158
"Buoy_2",2021-06-07,"avg",0,677.65,677.65,158
"Buoy_2",2021-06-07,"avg",0.5,311.05,677.65,158
"Buoy_2",2021-06-07,"avg",1,172.46,677.65,158
"Buoy_2",2021-06-07,"avg",1.5,93.135,677.65,158
"Buoy_2",2021-06-07,"avg",2,49.145,677.65,158
"Buoy_2",2021-06-07,"avg",2.5,17.72,677.65,158
"Buoy_2",2021-06-07,"avg",3,6.915,677.65,158
"ODNR_1",2021-06-07,"avg",0,1117,1117,158
"ODNR_1",2021-06-07,"avg",0.5,474.7,1117,158
"ODNR_1",2021-06-07,"avg",1,212.8,1117,158
"ODNR_1",2021-06-07,"avg",1.5,109.36,1117,158
"ODNR_1",2021-06-07,"avg",2,52.955,1117,158
"ODNR_1",2021-06-07,"avg",2.5,30.68,1117,158
"ODNR_1",2021-06-07,"avg",3,14.915,1117,158
"ODNR_1",2021-06-07,"avg",3.5,4.62,1117,158
"EC_1163",2021-06-07,"avg",0,1467.05,1467.05,158
"EC_1163",2021-06-07,"avg",0.5,176.75,1467.05,158
"EC_1163",2021-06-07,"avg",1,397.82,1467.05,158
"EC_1163",2021-06-07,"avg",1.5,403.95,1467.05,158
"EC_1163",2021-06-07,"avg",2,176.665,1467.05,158
"EC_1163",2021-06-07,"avg",2.5,61.375,1467.05,158
"EC_1163",2021-06-07,"avg",3,32.405,1467.05,158
"EC_1163",2021-06-07,"avg",3.5,25.915,1467.05,158
"EC_1163",2021-06-07,"avg",4,10.045,1467.05,158
"Bells",2021-06-07,"avg",0,676.5,676.5,158
"Bells",2021-06-07,"avg",0.5,339.65,676.5,158
"Bells",2021-06-07,"avg",1,383.475,676.5,158
"Bells",2021-06-07,"avg",1.5,82.315,676.5,158
"Bells",2021-06-07,"avg",2,52.285,676.5,158
"Bells",2021-06-07,"avg",2.5,35.44,676.5,158
"Bells",2021-06-07,"avg",3,26.005,676.5,158
"Bells",2021-06-07,"avg",3.5,19.815,676.5,158
"Bells",2021-06-07,"avg",4,14.92,676.5,158
"Bells",2021-06-07,"avg",5,7.02,676.5,158
"Bells",2021-06-07,"avg",6,7.83,676.5,158
"Muddy_Creek",2021-06-14,"avg",0,340.55,340.55,165
"Muddy_Creek",2021-06-14,"avg",0.5,7.055,340.55,165
"Muddy_Creek",2021-06-14,"avg",1,0.06,340.55,165
"ODNR_4",2021-06-14,"avg",0,162.74,162.74,165
"ODNR_4",2021-06-14,"avg",0.5,19.055,162.74,165
"ODNR_4",2021-06-14,"avg",1,4.345,162.74,165
"ODNR_4",2021-06-14,"avg",1.5,0.815,162.74,165
"ODNR_4",2021-06-14,"avg",2,0.085,162.74,165
"ODNR_6",2021-06-14,"avg",0,990.3,990.3,165
"ODNR_6",2021-06-14,"avg",0.5,50.985,990.3,165
"ODNR_6",2021-06-14,"avg",1,10.88,990.3,165
"ODNR_6",2021-06-14,"avg",1.5,3.35,990.3,165
"ODNR_6",2021-06-14,"avg",2,0.3,990.3,165
"ODNR_6",2021-06-14,"avg",2.5,0.045,990.3,165
"ODNR_6",2021-06-14,"avg",3,0.01,990.3,165
"ODNR_2",2021-06-14,"avg",0,2305,2305,165
"ODNR_2",2021-06-14,"avg",0.5,301.15,2305,165
"ODNR_2",2021-06-14,"avg",1,74.15,2305,165
"ODNR_2",2021-06-14,"avg",1.5,42.84,2305,165
"ODNR_2",2021-06-14,"avg",2,10.195,2305,165
"ODNR_2",2021-06-14,"avg",2.5,1.37,2305,165
"Buoy_2",2021-06-14,"avg",0,1540.65,1540.65,165
"Buoy_2",2021-06-14,"avg",0.5,343.25,1540.65,165
"Buoy_2",2021-06-14,"avg",1,145.435,1540.65,165
"Buoy_2",2021-06-14,"avg",1.5,92.07,1540.65,165
"Buoy_2",2021-06-14,"avg",2,62.135,1540.65,165
"Buoy_2",2021-06-14,"avg",2.5,18.35,1540.65,165
"Buoy_2",2021-06-14,"avg",3,6.94,1540.65,165
"Buoy_2",2021-06-14,"avg",3.5,1.92,1540.65,165
"ODNR_1",2021-06-14,"avg",0,1886.65,1886.65,165
"ODNR_1",2021-06-14,"avg",0.5,805.1,1886.65,165
"ODNR_1",2021-06-14,"avg",1,347.75,1886.65,165
"ODNR_1",2021-06-14,"avg",1.5,125.53,1886.65,165
"ODNR_1",2021-06-14,"avg",2,74.605,1886.65,165
"ODNR_1",2021-06-14,"avg",2.5,42.69,1886.65,165
"ODNR_1",2021-06-14,"avg",3,20.46,1886.65,165
"ODNR_1",2021-06-14,"avg",3.5,7.9,1886.65,165
"EC_1163",2021-06-14,"avg",0,2093.9,2093.9,165
"EC_1163",2021-06-14,"avg",0.5,188.115,2093.9,165
"EC_1163",2021-06-14,"avg",1,218.405,2093.9,165
"EC_1163",2021-06-14,"avg",1.5,136.28,2093.9,165
"EC_1163",2021-06-14,"avg",2,41.165,2093.9,165
"EC_1163",2021-06-14,"avg",2.5,13.96,2093.9,165
"EC_1163",2021-06-14,"avg",3,9.17,2093.9,165
"EC_1163",2021-06-14,"avg",3.5,6.695,2093.9,165
"EC_1163",2021-06-14,"avg",4,0.565,2093.9,165
"Bells",2021-06-14,"avg",0,2093,2093,165
"Bells",2021-06-14,"avg",0.5,729.85,2093,165
"Bells",2021-06-14,"avg",1,1174.75,2093,165
"Bells",2021-06-14,"avg",1.5,810.15,2093,165
"Bells",2021-06-14,"avg",2,317.465,2093,165
"Bells",2021-06-14,"avg",2.5,400.35,2093,165
"Bells",2021-06-14,"avg",3,300.8,2093,165
"Bells",2021-06-14,"avg",3.5,231.55,2093,165
"Bells",2021-06-14,"avg",4,101.77,2093,165
"Muddy_Creek",2021-06-21,"avg",0,414.6,414.6,172
"Muddy_Creek",2021-06-21,"avg",0.5,13.715,414.6,172
"Muddy_Creek",2021-06-21,"avg",1,0.02,414.6,172
"ODNR_4",2021-06-21,"avg",0,993.65,993.65,172
"ODNR_4",2021-06-21,"avg",0.5,27.015,993.65,172
"ODNR_4",2021-06-21,"avg",1,2.35,993.65,172
"ODNR_4",2021-06-21,"avg",1.5,5e-04,993.65,172
"ODNR_6",2021-06-21,"avg",0,711.55,711.55,172
"ODNR_6",2021-06-21,"avg",0.5,23.125,711.55,172
"ODNR_6",2021-06-21,"avg",1,1.62,711.55,172
"ODNR_6",2021-06-21,"avg",1.5,5e-04,711.55,172
"Muddy_Creek",2021-06-28,"avg",0,2087.5,2087.5,179
"Muddy_Creek",2021-06-28,"avg",0.5,63.16,2087.5,179
"Muddy_Creek",2021-06-28,"avg",1,2.45,2087.5,179
"Muddy_Creek",2021-06-28,"avg",1.5,0.175,2087.5,179
"ODNR_4",2021-06-28,"avg",0,1881.3,1881.3,179
"ODNR_4",2021-06-28,"avg",0.5,187.425,1881.3,179
"ODNR_4",2021-06-28,"avg",1,19.605,1881.3,179
"ODNR_4",2021-06-28,"avg",1.5,2.265,1881.3,179
"ODNR_4",2021-06-28,"avg",2,0.215,1881.3,179
"ODNR_6",2021-06-28,"avg",0,2386.5,2386.5,179
"ODNR_6",2021-06-28,"avg",0.5,384.8,2386.5,179
"ODNR_6",2021-06-28,"avg",1,60.525,2386.5,179
"ODNR_6",2021-06-28,"avg",1.5,16.135,2386.5,179
"ODNR_6",2021-06-28,"avg",2,4.135,2386.5,179
"ODNR_6",2021-06-28,"avg",2.5,0.51,2386.5,179
"ODNR_2",2021-06-28,"avg",0,1639.45,1639.45,179
"ODNR_2",2021-06-28,"avg",0.5,651.95,1639.45,179
"ODNR_2",2021-06-28,"avg",1,141.84,1639.45,179
"ODNR_2",2021-06-28,"avg",1.5,47.365,1639.45,179
"ODNR_2",2021-06-28,"avg",2,24.155,1639.45,179
"ODNR_2",2021-06-28,"avg",2.5,10.315,1639.45,179
"ODNR_2",2021-06-28,"avg",3,3.685,1639.45,179
"Buoy_2",2021-06-28,"avg",0,2343.7,2343.7,179
"Buoy_2",2021-06-28,"avg",0.5,634.425,2343.7,179
"Buoy_2",2021-06-28,"avg",1,230.555,2343.7,179
"Buoy_2",2021-06-28,"avg",1.5,103.285,2343.7,179
"Buoy_2",2021-06-28,"avg",2,31.29,2343.7,179
"Buoy_2",2021-06-28,"avg",2.5,4.78,2343.7,179
"Buoy_2",2021-06-28,"avg",3,2.83,2343.7,179
"Buoy_2",2021-06-28,"avg",3.5,0.33,2343.7,179
"ODNR_1",2021-06-28,"avg",0,1007.3,1007.3,179
"ODNR_1",2021-06-28,"avg",0.5,315.21,1007.3,179
"ODNR_1",2021-06-28,"avg",1,201.835,1007.3,179
"ODNR_1",2021-06-28,"avg",1.5,124.835,1007.3,179
"ODNR_1",2021-06-28,"avg",2,57.58,1007.3,179
"ODNR_1",2021-06-28,"avg",2.5,25.155,1007.3,179
"ODNR_1",2021-06-28,"avg",3,8.275,1007.3,179
"ODNR_1",2021-06-28,"avg",3.5,2.055,1007.3,179
"ODNR_1",2021-06-28,"avg",4,0.57,1007.3,179
"EC_1163",2021-06-28,"avg",0,334,334,179
"EC_1163",2021-06-28,"avg",0.5,85.66,334,179
"EC_1163",2021-06-28,"avg",1,32.13,334,179
"EC_1163",2021-06-28,"avg",1.5,16.825,334,179
"EC_1163",2021-06-28,"avg",2,8.03,334,179
"EC_1163",2021-06-28,"avg",2.5,3.995,334,179
"EC_1163",2021-06-28,"avg",3,1.385,334,179
"EC_1163",2021-06-28,"avg",3.5,0.915,334,179
"EC_1163",2021-06-28,"avg",4,0.385,334,179
"Muddy_Creek",2021-07-06,"avg",0,680.1,680.1,187
"Muddy_Creek",2021-07-06,"avg",0.5,29.7,680.1,187
"Muddy_Creek",2021-07-06,"avg",1,0.66,680.1,187
"ODNR_4",2021-07-06,"avg",0,813.5,813.5,187
"ODNR_4",2021-07-06,"avg",0.5,126.29,813.5,187
"ODNR_4",2021-07-06,"avg",1,12.4,813.5,187
"ODNR_4",2021-07-06,"avg",1.5,1.7,813.5,187
"ODNR_4",2021-07-06,"avg",2,0.315,813.5,187
"ODNR_6",2021-07-06,"avg",0,1247.9,1247.9,187
"ODNR_6",2021-07-06,"avg",0.5,273.25,1247.9,187
"ODNR_6",2021-07-06,"avg",1,66.765,1247.9,187
"ODNR_6",2021-07-06,"avg",1.5,12.635,1247.9,187
"ODNR_6",2021-07-06,"avg",2,3.355,1247.9,187
"ODNR_6",2021-07-06,"avg",2.5,0.87,1247.9,187
"ODNR_2",2021-07-06,"avg",0,1417.1,1417.1,187
"ODNR_2",2021-07-06,"avg",0.5,534.35,1417.1,187
"ODNR_2",2021-07-06,"avg",1,137.585,1417.1,187
"ODNR_2",2021-07-06,"avg",1.5,39.185,1417.1,187
"ODNR_2",2021-07-06,"avg",2,13.615,1417.1,187
"ODNR_2",2021-07-06,"avg",2.5,3.925,1417.1,187
"ODNR_2",2021-07-06,"avg",3,1.045,1417.1,187
"Buoy_2",2021-07-06,"avg",0,1462.85,1462.85,187
"Buoy_2",2021-07-06,"avg",0.5,675.3,1462.85,187
"Buoy_2",2021-07-06,"avg",1,175.86,1462.85,187
"Buoy_2",2021-07-06,"avg",1.5,46.02,1462.85,187
"Buoy_2",2021-07-06,"avg",2,19.545,1462.85,187
"Buoy_2",2021-07-06,"avg",2.5,5.725,1462.85,187
"Buoy_2",2021-07-06,"avg",3,2.075,1462.85,187
"ODNR_1",2021-07-06,"avg",0,1392.25,1392.25,187
"ODNR_1",2021-07-06,"avg",0.5,657.05,1392.25,187
"ODNR_1",2021-07-06,"avg",1,236.9,1392.25,187
"ODNR_1",2021-07-06,"avg",1.5,83.38,1392.25,187
"ODNR_1",2021-07-06,"avg",2,27.53,1392.25,187
"ODNR_1",2021-07-06,"avg",2.5,11.215,1392.25,187
"ODNR_1",2021-07-06,"avg",3,3.62,1392.25,187
"ODNR_1",2021-07-06,"avg",3.5,0.875,1392.25,187
"EC_1163",2021-07-06,"avg",0,1512.75,1512.75,187
"EC_1163",2021-07-06,"avg",0.5,748.5,1512.75,187
"EC_1163",2021-07-06,"avg",1,202.25,1512.75,187
"EC_1163",2021-07-06,"avg",1.5,65.86,1512.75,187
"EC_1163",2021-07-06,"avg",2,20.855,1512.75,187
"EC_1163",2021-07-06,"avg",2.5,9.66,1512.75,187
"EC_1163",2021-07-06,"avg",3,4.23,1512.75,187
"EC_1163",2021-07-06,"avg",3.5,1.955,1512.75,187
"Bells",2021-07-06,"avg",0,1177.55,1177.55,187
"Bells",2021-07-06,"avg",0.5,1015.1,1177.55,187
"Bells",2021-07-06,"avg",1,735.85,1177.55,187
"Bells",2021-07-06,"avg",1.5,417.8,1177.55,187
"Bells",2021-07-06,"avg",2,263.55,1177.55,187
"Bells",2021-07-06,"avg",2.5,153.815,1177.55,187
"Bells",2021-07-06,"avg",3,108.915,1177.55,187
"Bells",2021-07-06,"avg",3.5,78.93,1177.55,187
"Bells",2021-07-06,"avg",4,61.01,1177.55,187
"Bells",2021-07-06,"avg",5,29.905,1177.55,187
"Bells",2021-07-06,"avg",6,14.885,1177.55,187
"Muddy_Creek",2021-07-12,"avg",0,189.1,189.1,193
"Muddy_Creek",2021-07-12,"avg",0.5,11.865,189.1,193
"ODNR_4",2021-07-12,"avg",0,334.2,334.2,193
"ODNR_4",2021-07-12,"avg",0.5,38.77,334.2,193
"ODNR_4",2021-07-12,"avg",1,5.55,334.2,193
"ODNR_4",2021-07-12,"avg",1.5,0.73,334.2,193
"ODNR_6",2021-07-12,"avg",0,578.8,578.8,193
"ODNR_6",2021-07-12,"avg",0.5,162.8,578.8,193
"ODNR_6",2021-07-12,"avg",1,29.81,578.8,193
"ODNR_6",2021-07-12,"avg",1.5,6.01,578.8,193
"ODNR_6",2021-07-12,"avg",2,1.97,578.8,193
"ODNR_6",2021-07-12,"avg",2.5,0.53,578.8,193
"ODNR_2",2021-07-12,"avg",0,55.235,55.235,193
"ODNR_2",2021-07-12,"avg",0.5,12.87,55.235,193
"ODNR_2",2021-07-12,"avg",1,2.605,55.235,193
"ODNR_2",2021-07-12,"avg",1.5,0.615,55.235,193
"ODNR_2",2021-07-12,"avg",2,0.015,55.235,193
"Buoy_2",2021-07-12,"avg",0,129.375,129.375,193
"Buoy_2",2021-07-12,"avg",0.5,36.765,129.375,193
"Buoy_2",2021-07-12,"avg",1,13.7,129.375,193
"Buoy_2",2021-07-12,"avg",1.5,5.385,129.375,193
"Buoy_2",2021-07-12,"avg",2,1.975,129.375,193
"Buoy_2",2021-07-12,"avg",2.5,0.495,129.375,193
"Buoy_2",2021-07-12,"avg",3,0.02,129.375,193
"ODNR_1",2021-07-12,"avg",0,44.275,44.275,193
"ODNR_1",2021-07-12,"avg",0.5,20.2,44.275,193
"ODNR_1",2021-07-12,"avg",1,5.91,44.275,193
"ODNR_1",2021-07-12,"avg",1.5,1.595,44.275,193
"ODNR_1",2021-07-12,"avg",2,0.58,44.275,193
"ODNR_1",2021-07-12,"avg",2.5,0.155,44.275,193
"ODNR_1",2021-07-12,"avg",3,0.04,44.275,193
"EC_1163",2021-07-12,"avg",0,220,220,193
"EC_1163",2021-07-12,"avg",0.5,134.63,220,193
"EC_1163",2021-07-12,"avg",1,69.265,220,193
"EC_1163",2021-07-12,"avg",1.5,22.055,220,193
"EC_1163",2021-07-12,"avg",2,8.53,220,193
"EC_1163",2021-07-12,"avg",2.5,4.825,220,193
"EC_1163",2021-07-12,"avg",3,2.18,220,193
"Muddy_Creek",2021-07-19,"avg",0,243.25,243.25,200
"Muddy_Creek",2021-07-19,"avg",0.5,1.83,243.25,200
"ODNR_4",2021-07-19,"avg",0,907.55,907.55,200
"ODNR_4",2021-07-19,"avg",0.5,2.03,907.55,200
"ODNR_4",2021-07-19,"avg",1,0.04,907.55,200
"ODNR_4",2021-07-19,"avg",1.5,0.06,907.55,200
"ODNR_4",2021-07-19,"avg",2,0.06,907.55,200
"ODNR_6",2021-07-19,"avg",0,781.15,781.15,200
"ODNR_6",2021-07-19,"avg",0.5,96.7,781.15,200
"ODNR_6",2021-07-19,"avg",1,10.115,781.15,200
"ODNR_6",2021-07-19,"avg",1.5,2.81,781.15,200
"ODNR_6",2021-07-19,"avg",2,0.635,781.15,200
"ODNR_6",2021-07-19,"avg",2.5,0.065,781.15,200
"ODNR_2",2021-07-19,"avg",0,316.95,316.95,200
"ODNR_2",2021-07-19,"avg",0.5,65.56,316.95,200
"ODNR_2",2021-07-19,"avg",1,17.04,316.95,200
"ODNR_2",2021-07-19,"avg",1.5,3.27,316.95,200
"ODNR_2",2021-07-19,"avg",2,0.925,316.95,200
"ODNR_2",2021-07-19,"avg",2.5,0.295,316.95,200
"Buoy_2",2021-07-19,"avg",0,372.65,372.65,200
"Buoy_2",2021-07-19,"avg",0.5,69.705,372.65,200
"Buoy_2",2021-07-19,"avg",1,16.19,372.65,200
"Buoy_2",2021-07-19,"avg",1.5,6.725,372.65,200
"Buoy_2",2021-07-19,"avg",2,1.935,372.65,200
"Buoy_2",2021-07-19,"avg",2.5,0.705,372.65,200
"Buoy_2",2021-07-19,"avg",3,0.26,372.65,200
"ODNR_1",2021-07-19,"avg",0,632.8,632.8,200
"ODNR_1",2021-07-19,"avg",0.5,200.06,632.8,200
"ODNR_1",2021-07-19,"avg",1,50.385,632.8,200
"ODNR_1",2021-07-19,"avg",1.5,23.635,632.8,200
"ODNR_1",2021-07-19,"avg",2,13.09,632.8,200
"ODNR_1",2021-07-19,"avg",2.5,4.965,632.8,200
"ODNR_1",2021-07-19,"avg",3,1.375,632.8,200
"EC_1163",2021-07-19,"avg",0,592.45,592.45,200
"EC_1163",2021-07-19,"avg",0.5,338.15,592.45,200
"EC_1163",2021-07-19,"avg",1,83.735,592.45,200
"EC_1163",2021-07-19,"avg",1.5,32.83,592.45,200
"EC_1163",2021-07-19,"avg",2,13.61,592.45,200
"EC_1163",2021-07-19,"avg",2.5,272.285,592.45,200
"EC_1163",2021-07-19,"avg",3,2.26,592.45,200
"EC_1163",2021-07-19,"avg",3.5,1.04,592.45,200
"EC_1163",2021-07-19,"avg",4,0.42,592.45,200
"Bells",2021-07-19,"avg",0,1054.95,1054.95,200
"Bells",2021-07-19,"avg",0.5,647.4,1054.95,200
"Bells",2021-07-19,"avg",1,429.5,1054.95,200
"Bells",2021-07-19,"avg",1.5,293.7,1054.95,200
"Bells",2021-07-19,"avg",2,194.3,1054.95,200
"Bells",2021-07-19,"avg",2.5,120.99,1054.95,200
"Bells",2021-07-19,"avg",3,95.475,1054.95,200
"Bells",2021-07-19,"avg",3.5,67.1,1054.95,200
"Bells",2021-07-19,"avg",4,46.38,1054.95,200
"Bells",2021-07-19,"avg",5,26.675,1054.95,200
"Bells",2021-07-19,"avg",6,15.935,1054.95,200
"Muddy_Creek",2021-07-26,"avg",0,900.6,900.6,207
"Muddy_Creek",2021-07-26,"avg",0.5,37.82,900.6,207
"Muddy_Creek",2021-07-26,"avg",1,1.45,900.6,207
"ODNR_4",2021-07-26,"avg",0,535.135,535.135,207
"ODNR_4",2021-07-26,"avg",0.5,52.605,535.135,207
"ODNR_4",2021-07-26,"avg",1,3.92,535.135,207
"ODNR_4",2021-07-26,"avg",1.5,0.35,535.135,207
"ODNR_6",2021-07-26,"avg",0,1170.45,1170.45,207
"ODNR_6",2021-07-26,"avg",0.5,158.68,1170.45,207
"ODNR_6",2021-07-26,"avg",1,34.93,1170.45,207
"ODNR_6",2021-07-26,"avg",1.5,7.57,1170.45,207
"ODNR_6",2021-07-26,"avg",2,1.62,1170.45,207
"ODNR_2",2021-07-26,"avg",0,1544.6,1544.6,207
"ODNR_2",2021-07-26,"avg",0.5,401.75,1544.6,207
"ODNR_2",2021-07-26,"avg",1,76.05,1544.6,207
"ODNR_2",2021-07-26,"avg",1.5,26.14,1544.6,207
"ODNR_2",2021-07-26,"avg",2,8.18,1544.6,207
"ODNR_2",2021-07-26,"avg",2.5,1.98,1544.6,207
"Buoy_2",2021-07-26,"avg",0,2000.5,2000.5,207
"Buoy_2",2021-07-26,"avg",0.5,532.65,2000.5,207
"Buoy_2",2021-07-26,"avg",1,229.9,2000.5,207
"Buoy_2",2021-07-26,"avg",1.5,79.455,2000.5,207
"Buoy_2",2021-07-26,"avg",2,32.56,2000.5,207
"Buoy_2",2021-07-26,"avg",2.5,9.165,2000.5,207
"Buoy_2",2021-07-26,"avg",3,3.15,2000.5,207
"ODNR_1",2021-07-26,"avg",0,1953.85,1953.85,207
"ODNR_1",2021-07-26,"avg",0.5,819.65,1953.85,207
"ODNR_1",2021-07-26,"avg",1,295.9,1953.85,207
"ODNR_1",2021-07-26,"avg",1.5,93.825,1953.85,207
"ODNR_1",2021-07-26,"avg",2,30.04,1953.85,207
"ODNR_1",2021-07-26,"avg",2.5,10.25,1953.85,207
"ODNR_1",2021-07-26,"avg",3,3.52,1953.85,207
"EC_1163",2021-07-26,"avg",0,1411,1411,207
