date,site,time_on,air_temp,Temperature,Dissolved_Oxygen,Secchi,Conductivity,pH,sample_depth,time_off,weather,waves,Notes
7/8/2019,ODNR 6,10:50:00 AM,23.89,26.31,9.61,0.5,0.34,9.56,1m,11:06:00 AM,Clear,,
7/8/2019,Bridge,11:15:00 AM,23.89,26.69,10.91,0.5,0.38,9.75,1m,11:25:00 AM,Clear,,
7/8/2019,ODNR 2,11:40:00 AM,23.89,26.71,10.29,0.75,0.39,9.76,1m,11:50:00 AM,Clear,,
7/8/2019,Buoy 2,11:57:00 AM,23.89,26.41,10.63,0.75,0.39,9.75,1m,12:09:00 PM,Clear,,
7/8/2019,ODNR 1,12:11:00 PM,23.89,26.36,10.79,0.75,0.36,9.76,1m,12:45:00 PM,Clear,,
7/8/2019,EC 1163,12:50:00 PM,24.44,26.05,10.84,0.75,0.39,9.67,1m,1:10:00 PM,Clear,,
7/8/2019,Bells,,,,,,,,,,,,
8/5/2019,Muddy Creek,9:45:00 AM,27.78,26.95,0.37,0.35,0.39,9.76,1m,11:22:00 AM,Sunny and calm,,"DO readings are very low compared to normal. Sonde was found dry, instead of imersed in water."
8/5/2019,ODNR 4,11:30:00 AM,27.78,26.86,0.42,0.35,0.31,9.99,1m,12:12:00 PM,Sunny and calm,,
8/5/2019,ODNR 6,12:18:00 PM,28.33,26.68,0.38,0.5,0.34,10.01,1m,12:44:00 PM,Sunny and calm,,
8/5/2019,Bridge,12:51:00 PM,28.89,26.66,0.31,0.35,0.35,9.77,1m,1:05:00 AM,Parlty cloudy and calm,,
8/5/2019,ODNR 2,1:25:00 AM,28.89,27.47,0.48,0.5,0.34,10.11,1m,1:50:00 AM,Parlty cloudy and calm,,
8/5/2019,Buoy 2,1:54:00 AM,28.89,28.54,0.65,0.7,0.33,10.1,1m,2:25:00 AM,Parlty cloudy and calm,,
8/5/2019,ODNR 1,2:30:00 AM,28.89,26.89,0.4,0.7,0.32,10,1m,3:00:00 AM,Parlty cloudy and calm,,
8/5/2019,EC 1163,3:06:00 AM,28.89,28.02,0.79,0.7,0.3,10,1m,3:40:00 AM,Parlty cloudy and calm,,
8/5/2019,Bells,3:47:00 AM,28.89,27.35,0.77,1.4,0.27,9.94,1m,4:20:00 AM,Parlty cloudy and calm,,
8/19/2019,ODNR 2,9:45:00 AM,21.1,24.82,8.16,0.5,0.37,8.93,1m,10:00:00 AM,Cloudy,,
8/19/2019,Buoy 2,10:07:00 AM,21.1,24.94,9.06,0.5,0.34,9.21,1m,10:23:00 AM,Cloudy,,
8/19/2019,ODNR 1,10:30:00 AM,21.7,25.08,8.7,0.5,0.33,9.24,1m,10:52:00 AM,Cloudy,,
8/19/2019,EC 1163,10:57:00 AM,21.7,24.9,8.71,0.5,0.35,9.19,1m,11:25:00 AM,Cloudy,,
8/19/2019,Bells,11:35:00 AM,22.8,24.94,10.06,0.5,0.27,9.26,1m,11:50:00 AM,Cloudy,,
9/9/2019,Muddy Creek,9:35:00 AM,18.9,21.11,11.29,25,0.53,9.23,1m,9:53:00 AM,Sunny calm,,
9/9/2019,ODNR 4,9:56:00 AM,18.9,21.17,10.67,40,0.43,9.12,1m,10:14:00 AM,Partly cloudy,,
9/9/2019,ODNR 6,10:18:00 AM,18.9,21.3,9.58,0.25,0.41,8.98,1m,10:34:00 AM,Partly cloudy,,
9/9/2019,Bridge,10:40:00 AM,18.9,21.82,11.22,0.5,0.39,9.3,1m,10:46:00 AM,Partly cloudy,,
9/9/2019,ODNR 2,10:54:00 AM,18.9,21.61,11.94,0.6,0.38,9.49,1m,11:09:00 AM,Cloudy,,
9/9/2019,Buoy 2,11:13:00 AM,20.6,21.88,11.95,0.8,0.32,9.47,1m,11:30:00 AM,Cloudy,,
9/9/2019,ODNR 1,11:32:00 AM,20.6,21.81,12.46,0.7,0.33,9.49,1m,11:51:00 AM,Cloudy,,
9/9/2019,EC 1163,11:55:00 AM,20.6,22.05,12.46,0.7,0.32,9.47,1m,12:15:00 PM,Cloudy,,
9/9/2019,Bells,12:24:00 PM,21.1,22.28,12.62,1.25,0.25,9.74,1m,12:42:00 PM,Parly cloudy,,
9/23/2019,Muddy Creek,12:23:00 PM,22.2,23.61,10.33,0.5,0.51,9.35,1,12:38:00 PM,Clear,,
9/23/2019,ODNR 4,12:50:00 PM,22.2,23.73,10.62,0.5,0.47,9.44,1,1:05:00 AM,Clear,,
9/23/2019,ODNR 6,1:18:00 AM,22.2,23.18,10.58,0.5,0.43,9.22,1,1:26:00 AM,Clear,,
9/23/2019,Bridge,1:33:00 AM,22.2,23.3,10.98,0.5,0.4,9.45,1,1:42:00 AM,Clear,,
9/23/2019,ODNR 2,9:49:00 AM,21.11,22.94,9.77,0.5,0.4,9.35,1,10:03:00 AM,Cloudy,,
9/23/2019,Buoy 2,10:11:00 AM,21.7,22.7,10.06,0.5,0.36,9.47,1,10:24:00 AM,Cloudy,,
9/23/2019,ODNR 1,10:28:00 AM,22.2,22.95,10.24,0.5,0.4,9.37,1,10:42:00 AM,Clear,,
9/23/2019,EC 1163,10:48:00 AM,22.2,22.65,10.64,0.75,0.36,9.54,1,11:07:00 AM,Clear,,
9/23/2019,Bells,11:20:00 AM,22.2,22.23,9.93,1,0.26,9.11,1,11:32:00 AM,Clear,,
