site,Sample ID,Latitude,Longitude,Sampled By,Test Date,Test Time,Instrument Model Number,Instrument Serial Number,Test Panel,Cartridge ID,Expiration Date,Software Version,Results Filename,Controls Result,Cylindro. Result,Microcystin Result,ELISA-MC,Comments
ODNR_2,ODNR 2 7/6/20 Dock,41.479817,82.782867,SDB,7/6/2020,18:48:00,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-159,6/2/2021,1.1.0.1,20200706T183744.taz.xml,PASS,1.2 ug/L,1.4 ug/L,0.16,
Buoy_2,BGSU Buoy 2 7/6/20 Dock,41.47061,82.75637,SDB,7/6/2020,19:02:16,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-272,6/2/2021,1.1.0.1,20200706T185200.taz.xml,PASS,< 0.9 ug/L,1.7 ug/L,0.12,
Muddy_Creek,Muddy Creek 7/13/20 Boat,41.4561,83.007133,SDB,7/13/2020,10:13:55,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-134,6/2/2021,1.1.0.1,20200713T100339.taz.xml,PASS,0.9 ug/L,1.0 ug/L,0.53,
ODNR_6,ODNR 6 7/13/20 Boat,41.4573,82.898655,SDB,7/13/2020,11:29:37,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-351,6/2/2021,1.1.0.1,20200713T111921.taz.xml,PASS,1.1 ug/L,1.3 ug/L,0.54,
ODNR_2,ODNR 2 7/13/20 Boat,41.479817,82.782867,SDB,7/13/2020,12:39:56,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-344,6/2/2021,1.1.0.1,20200713T122940.taz.xml,PASS,< 0.9 ug/L,0.6 ug/L,0.68,
Buoy_2,BGSU Buoy 2 7/13/20 Boat,41.47061,82.75637,SDB,7/13/2020,13:13:33,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-315,6/2/2021,1.1.0.1,20200713T130317.taz.xml,PASS,< 0.9 ug/L,1.3 ug/L,0.38,
Muddy_Creek,Muddy Creek 7/20/20 Dock,41.4561,83.007133,SDB,7/20/2020,15:57:11,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-236,6/2/2021,1.1.0.1,20200720T154655.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.18,
ODNR_6,ODNR 6 7/20/20 Dock,41.4573,82.898655,SDB,7/20/2020,16:12:03,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-322,6/2/2021,1.1.0.1,20200720T160147.taz.xml,PASS,< 0.9 ug/L,1.0 ug/L,0.37,
ODNR_2,ODNR 2 7/20/20 Dock,41.479817,82.782867,SDB,7/20/2020,16:27:18,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-337,6/2/2021,1.1.0.1,20200720T161703.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.1,
Buoy_2,BGSU Buoy 2 7/20/20 Dock,41.47061,82.75637,SDB,7/20/2020,16:43:54,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-117,6/2/2021,1.1.0.1,20200720T163338.taz.xml,PASS,< 1.0 ug/L,1.4 ug/L,0.18,
Muddy_Creek,Muddy Creek 7/27/20 Lab,41.4561,83.007133,SDB,7/27/2020,16:38:40,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-158,6/2/2021,1.2.0.2,20200727T162824.taz.xml,PASS,< 0.9 ug/L,0.6 ug/L,0.2,
Muddy_Creek,Muddy Creek 7/27/20 Dissolved Lab,41.4561,83.007133,SDB,7/27/2020,16:57:04,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-228,6/2/2021,1.2.0.2,20200727T164648.taz.xml,PASS,1.0 ug/L,1.2 ug/L,0.06,
ODNR_6,ODNR 6 7/27/20 Lab,41.4573,82.898655,SDB,7/27/2020,17:09:18,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-350,6/2/2021,1.2.0.2,20200727T165902.taz.xml,PASS,< 0.9 ug/L,0.8 ug/L,0.19,
Bridge,Bridge 7/27/20 Lab,41.480156,82.834328,SDB,7/27/2020,17:23:25,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-276,6/2/2021,1.2.0.2,20200727T171310.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.1,
ODNR_2,ODNR 2 7/27/20 Lab,41.479817,82.782867,SDB,7/27/2020,17:38:14,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-195,6/2/2021,1.2.0.2,20200727T172758.taz.xml,PASS,< 0.9 ug/L,0.8 ug/L,0.17,
Buoy_2,BGSU Buoy 2 7/27/20 Lab,41.47061,82.75637,SDB,7/27/2020,17:55:45,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-257,6/2/2021,1.2.0.2,20200727T174529.taz.xml,PASS,< 0.9 ug/L,0.7 ug/L,0.13,
Buoy_2,BGSU Buoy 2 7/27/20 Dissolved Lab,41.47061,82.75637,SDB,7/27/2020,18:08:54,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-227,6/2/2021,1.2.0.2,20200727T175839.taz.xml,PASS,< 0.9 ug/L,0.6 ug/L,0.07,
Muddy_Creek,Muddy Creek 8/3/20 Lab,41.4561,83.007133,SDB,8/3/2020,17:55:36,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-194,6/2/2021,1.2.0.2,20200803T174520.taz.xml,PASS,< 0.9 ug/L,0.8 ug/L,0.19,
Muddy_Creek,Muddy Creek 8/3/20 Dissolved Lab,41.4561,83.007133,SDB,8/3/2020,18:09:36,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-190,6/2/2021,1.2.0.2,20200803T175920.taz.xml,PASS,< 0.9 ug/L,0.7 ug/L,0.07,
ODNR_6,ODNR 6 8/3/20 Lab,41.4573,82.898655,SDB,8/3/2020,18:23:24,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-345,6/2/2021,1.2.0.2,20200803T181309.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.22,
Bridge,Bridge 8/3/20 Lab,41.480156,82.834328,SDB,8/3/2020,18:49:30,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-253,6/2/2021,1.2.0.2,20200803T183914.taz.xml,PASS,< 0.9 ug/L,0.7 ug/L,0.13,
ODNR_2,ODNR 2 8/3/20 Lab,41.479817,82.782867,SDB,8/3/2020,19:00:53,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-183,6/2/2021,1.2.0.2,20200803T185037.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.18,
Buoy_2,BGSU Buoy 2 8/3/20 Lab,41.47061,82.75637,SDB,8/3/2020,19:14:12,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-239,6/2/2021,1.2.0.2,20200803T190356.taz.xml,PASS,< 0.9 ug/L,1.2 ug/L,0.17,
Buoy_2,BGSU Buoy 2 8/3/20 Dissolved Lab,41.47061,82.75637,SDB,8/3/2020,19:27:19,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-242,6/2/2021,1.2.0.2,20200803T191703.taz.xml,PASS,1.0 ug/L,0.4 ug/L,0.09,
Muddy_Creek,Muddy Creek 8/10/20 Lab,41.4561,83.007133,SDB,8/10/2020,17:34:39,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-144,6/2/2021,1.2.0.2,20200810T172423.taz.xml,PASS,0.9 ug/L,0.8 ug/L,0.06,
Muddy_Creek,Muddy Creek 8/10/20 Dissolved Lab,41.4561,83.007133,SDB,8/10/2020,17:50:04,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-133,6/2/2021,1.2.0.2,20200810T173948.taz.xml,PASS,0.9 ug/L,0.6 ug/L,0.06,
ODNR_6,ODNR 6 8/10/20 Lab,41.4573,82.898655,JRD,8/10/2020,18:09:13,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-336,6/2/2021,1.2.0.2,20200810T175857.taz.xml,PASS,< 0.9 ug/L,1.8 ug/L,0.13,
Bridge,Bridge 8/10/20 Lab,41.480156,82.834328,SDB,8/10/2020,18:25:37,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-316,6/2/2021,1.2.0.2,20200810T181522.taz.xml,PASS,1.0 ug/L,1.6 ug/L,0.14,
ODNR_2,ODNR 2 8/10/20 Lab,41.479817,82.782867,SDB,8/10/2020,18:41:01,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-264,6/2/2021,1.2.0.2,20200810T183045.taz.xml,PASS,< 0.9 ug/L,2.4 ug/L,0.12,
Buoy_2,BGSU Buoy 2 8/10/20 Lab,41.47061,82.75637,SDB,8/10/2020,18:56:56,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-272,3/19/2021,1.2.0.2,20200810T184640.taz.xml,PASS,< 0.6 ug/L,1.0 ug/L,0.07,
Buoy_2,BGSU Buoy 2 8/10/20 Dissolved Lab,41.47061,82.75637,SDB,8/10/2020,19:11:46,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-289,3/19/2021,1.2.0.2,20200810T190130.taz.xml,PASS,< 0.6 ug/L,2.2 ug/L,0.08,
Muddy_Creek,Muddy Creek 8/17/20 Lab,41.4561,-83.007133,JRD,8/17/2020,18:08:58,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-304,3/19/2021,1.2.0.2,20200817T175842.taz.xml,PASS,< 0.6 ug/L,1.0 ug/L,0.08,
Muddy_Creek,Muddy Creek Dissolved 8/17/20 Lab,41.4561,-83.007133,JRD,8/17/2020,18:25:10,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-288,3/19/2021,1.2.0.2,20200817T181454.taz.xml,PASS,0.6 ug/L,1.0 ug/L,0.05,
ODNR_6,ODNR 6 8/17/20 Lab,,,JRD,8/17/2020,18:41:07,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-306,3/19/2021,1.2.0.2,20200817T183051.taz.xml,PASS,< 0.6 ug/L,0.9 ug/L,0.09,
Bridge,Bridge 8/17/20 Lab,,,JRD,8/17/2020,18:57:19,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-309,3/19/2021,1.2.0.2,20200817T184703.taz.xml,PASS,< 0.6 ug/L,1.2 ug/L,0.13,
ODNR_2,ODNR 2 8/17/20 Lab,,,SDB,8/17/2020,19:12:02,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-292,3/19/2021,1.2.0.2,20200817T190147.taz.xml,PASS,< 0.6 ug/L,1.3 ug/L,0.13,
Buoy_2,BGSU Buoy 2 8/17/20,,,JRD,8/17/2020,19:41:21,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-290,3/19/2021,1.2.0.2,20200817T193106.taz.xml,PASS,< 0.6 ug/L,2.0 ug/L,0.08,
Buoy_2,BGSU Buoy 2 8/17/20 Dissolved Lab,,,JRD,8/17/2020,20:10:22,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-291,3/19/2021,1.2.0.2,20200817T200006.taz.xml,PASS,0.6 ug/L,1.9 ug/L,0.05,
Muddy_Creek,Muddy Creek 8/25/20 Lab,,,JRD,8/25/2020,19:24:35,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-365,6/2/2021,1.2.0.2,20200825T191418.taz.xml,PASS,1.0 ug/L,0.9 ug/L,0.15,
Muddy_Creek,Muddy Creek 8/25/20 Dissolved Lab,,,jrd,8/25/2020,19:37:17,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-403,6/2/2021,1.2.0.2,20200825T192702.taz.xml,PASS,1.0 ug/L,2.0 ug/L,0.1,
Bridge,Bridge 8/25/20 Lab,,,JRD,8/25/2020,19:51:07,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-307,3/19/2021,1.2.0.2,20200825T194051.taz.xml,PASS,0.6 ug/L,1.5 ug/L,0.17,
ODNR_2,ODNR 2 8/25/20 Lab,,,JRD,8/25/2020,20:12:42,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-287,3/19/2021,1.2.0.2,20200825T200226.taz.xml,PASS,0.6 ug/L,1.3 ug/L,0.09,
ODNR_2,ODNR 2 Dissolved 8/25/20 Lab,,,JRD,8/25/2020,20:26:01,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-465,6/2/2021,1.2.0.2,20200825T201545.taz.xml,PASS,< 0.9 ug/L,1.1 ug/L,0.09,"JRD did dissolved at this site, instead  of ODNR 6"
Buoy_2,BGSU Buoy 2 8/25/20 Lab,,,JRD,8/25/2020,20:51:12,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-427,6/2/2021,1.2.0.2,20200825T204056.taz.xml,PASS,< 0.9 ug/L,1.1 ug/L,0.09,
Buoy_2,BGSU Buoy 2 Dissolved 8/25/20 Lab,,,JRD,8/25/2020,21:05:00,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-290,6/2/2021,1.2.0.2,20200825T205444.taz.xml,PASS,< 0.9 ug/L,2.0 ug/L,0.07,
Muddy_Creek,Muddy Creek 8/31/20 Lab,,,SDB,8/31/2020,17:24:47,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-402,6/2/2021,1.2.0.2,20200831T171431.taz.xml,PASS,1.1 ug/L,0.5 ug/L,0.08,
Muddy_Creek,Muddy Creek 8/31/20 Dissolved Lab ,,,SDB,8/31/2020,17:58:12,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-399,6/2/2021,1.2.0.2,20200831T174756.taz.xml,PASS,< 0.9 ug/L,0.7 ug/L,0.04,
ODNR_6,ODNR 6 8/31/20 Lab,,,SDB,8/31/2020,18:10:45,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-423,6/2/2021,1.2.0.2,20200831T180030.taz.xml,PASS,1.1 ug/L,0.9 ug/L,0.16,
Bridge,Bridge 8/31/20 Lab,,,SDB,8/31/2020,18:25:44,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-416,6/2/2021,1.2.0.2,20200831T181528.taz.xml,PASS,< 0.9 ug/L,0.5 ug/L,0.2,
ODNR_2,ODNR 2 8/31/20 Lab,,,SDB,8/31/2020,18:38:32,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-453,6/2/2021,1.2.0.2,20200831T182816.taz.xml,PASS,< 0.9 ug/L,0.9 ug/L,0.09,
Buoy_2,Buoy 2 8/31/20 Lab,,,SDB,8/31/2020,18:51:43,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-368,6/2/2021,1.2.0.2,20200831T184127.taz.xml,PASS,< 0.9 ug/L,1.0 ug/L,0.15,
Buoy_2,Buoy 2 8/31/20 Dissolved Lab,,,SDB,8/31/2020,19:05:18,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-295,6/2/2021,1.2.0.2,20200831T185503.taz.xml,PASS,< 0.9 ug/L,1.3 ug/L,0.04,
Muddy_Creek,Muddy Creek 9/8/20,,,SDB,9/8/2020,17:18:53,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-449,6/2/2021,1.2.0.2,20200908T170837.taz.xml,PASS,< 0.9 ug/L,0.8 ug/L,0.08,
Muddy_Creek,Muddy Creek 9/8/20 Dissolved Lab,,,SDB,9/8/2020,16:23:35,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-302,6/2/2021,1.2.0.2,20200908T161320.taz.xml,PASS,1.0 ug/L,1.1 ug/L,0.07,
ODNR_6,ODNR 6 9/8/20 Lab,,,SDB,9/8/2020,17:34:21,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-447,6/2/2021,1.2.0.2,20200908T172405.taz.xml,PASS,< 0.9 ug/L,1.1 ug/L,0.07,
Bridge,Bridge 9/8/20 Lab,,,SDB,9/8/2020,17:48:41,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-055,8/18/2021,1.2.0.2,20200908T173825.taz.xml,PASS,< 0.4 ug/L,0.7 ug/L,0.04,
ODNR_2,ODNR 2 9/8/20 Lab,,,SDB,9/8/2020,18:03:00,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-067,8/18/2021,1.2.0.2,20200908T175244.taz.xml,PASS,< 0.4 ug/L,1.3 ug/L,0.04,
Buoy_2,BGSU Buoy 2 9/8/20 Lab,,,SDB,9/8/2020,18:19:17,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-056,8/18/2021,1.2.0.2,20200908T180901.taz.xml,PASS,< 0.4 ug/L,0.8 ug/L,0.04,
Buoy_2,BGSU Buoy 2 9/8/20 Dissolved,,,SDB,9/8/2020,18:38:44,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-053,8/18/2021,1.2.0.2,20200908T182828.taz.xml,PASS,< 0.4 ug/L,< 0.4 ug/L,0.05,
Muddy_Creek,Muddy Creek 9/14/20 Lab,,,SDB,9/14/2020,16:39:23,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-073,8/18/2021,1.2.0.2,20200914T162907.taz.xml,PASS,0.7 ug/L,3.0 ug/L,0.09,
ODNR_6,ODNR 6 9/14/20 Lab,,,SDB,9/14/2020,17:07:35,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-078,8/18/2021,1.2.0.2,20200914T165720.taz.xml,PASS,0.5 ug/L,2.0 ug/L,0.13,
Bridge,Bridge 9/14/20 Lab,,,SDB,9/14/2020,17:21:05,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-063,8/18/2021,1.2.0.2,20200914T171049.taz.xml,PASS,< 0.4 ug/L,0.8 ug/L,0.21,
ODNR_2,ODNR 2 9/14/20 Lab,,,SDB,9/14/2020,17:33:54,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-077,8/18/2021,1.2.0.2,20200914T172338.taz.xml,PASS,0.4 ug/L,1.8 ug/L,0.14,
Buoy_2,Buoy 2 9/14/20 Lab,,,SDB,9/14/2020,17:47:01,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-071,8/18/2021,1.2.0.2,20200914T173646.taz.xml,PASS,0.7 ug/L,3.3 ug/L,0.14,
Muddy_Creek,Muddy Creek 9/14/20 Dissolved Lab,,,SDB,9/14/2020,18:01:40,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-084,8/18/2021,1.2.0.2,20200914T175125.taz.xml,PASS,< 0.4 ug/L,1.2 ug/L,0.09,
Buoy_2,Buoy 2 9/14/20 Dissolved Lab,,,SDB,9/14/2020,18:13:02,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-086,8/18/2021,1.2.0.2,20200914T180246.taz.xml,PASS,< 0.4 ug/L,0.8 ug/L,0.08,
Muddy_Creek,Muddy Creek 10/13/20,,,SDB,10/13/2020,11:03:48,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-096,8/18/2021,1.2.0.2,20201013T105333.taz.xml,PASS,0.5 ug/L,0.9 ug/L,0.09,
ODNR_6,ODNR 6 10/13/20,,,SDB,10/13/2020,11:38:49,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-074,8/18/2021,1.2.0.2,20201013T112833.taz.xml,PASS,0.5 ug/L,2.5 ug/L,0.1,
Bridge,Bridge 10/13/20,,,SDB,10/13/2020,12:22:48,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-080,8/18/2021,1.2.0.2,20201013T121232.taz.xml,PASS,0.5 ug/L,1.5 ug/L,0.1,
ODNR_2,ODNR 2 10/13/20,,,SDB,10/13/2020,12:51:10,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-087,8/18/2021,1.2.0.2,20201013T124054.taz.xml,PASS,0.5 ug/L,1.2 ug/L,0.06,
Buoy_2,Buoy 2 10/13/20,,,SDB,10/13/2020,13:13:49,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-088,8/18/2021,1.2.0.2,20201013T130333.taz.xml,PASS,0.4 ug/L,1.0 ug/L,0.11,
Buoy_2,Buoy 2 10/13/20 Dissolved,,,SDB,10/13/2020,13:31:51,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-095,8/18/2021,1.2.0.2,20201013T132136.taz.xml,PASS,< 0.4 ug/L,0.6 ug/L,0.07,
Muddy_Creek,Muddy Creek 10/13/20 Dissolved,,,SDB,10/13/2020,13:45:39,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03260-089,8/18/2021,1.2.0.2,20201013T133524.taz.xml,PASS,< 0.4 ug/L,< 0.4 ug/L,0.06,
