Site,Date,Air_Temperature,Secchi,Water_Temperature,Dissolved_Oxygen,SPC,Conductivity,pH,pH_mV,Turbidity,pc_rfu,Phycocyanin,chl_rfu,Chlorophyll_Sonde
ODNR_1,6/28/2021,31.9,70,25.13,11.52,450.9,452.1,9,-134.8,11.84,0.92,0.32,3.86,14.74
ODNR_1_Sed,6/28/2021,,,23.02,7.88,489,373.3,8.55,-108.5,30.52,0.77,0.12,5.43,20.24
EC_1163,6/28/2021,31.9,80,24.06,10.52,420.3,415.6,8.88,-127.8,10.8,0.97,0.33,3.72,15.15
Bells,6/28/2021,,,,,,,,,,,,,
Muddy_Creek,7/6/2021,26.67,15,25.85,,367.3,373.7,8.34,-96.8,80.21,1.21,0.59,8.21,33.85
ODNR_4,7/6/2021,27.2,29,25.46,10.39,502,507,8.68,-116.7,26.93,2.62,2.02,15.44,58.07
ODNR_4_Sed,7/6/2021,,,25.46,10.14,504,509,8.66,-115.3,26.06,2.74,2.14,17.56,68.54
ODNR_6,7/6/2021,28.9,39,25.53,8.72,481.5,486.2,8.5,-106.9,15.58,2.62,2,10.24,38.95
ODNR_6_Sed,7/6/2021,,,25.4,7.9,483.3,486.6,8.35,-96.7,38.39,2.97,2.41,11.73,43.29
Bridge,7/6/2021,28.9,30,26.2,8.88,460.9,472.1,8.63,-113.7,24.56,2.67,2.17,11.79,44.61
ODNR_2,7/6/2021,30,45,25.81,9.08,386.9,392.7,8.74,-120.5,15.79,1.16,0.58,5.31,20.39
ODNR_2_Sed,7/6/2021,,,25.53,7.91,394.1,397.4,8.48,-105.3,25.28,1.25,0.63,5.91,26.11
Buoy_2,7/6/2021,30,50,26.3,8.6,399.1,406.8,8.75,-121.2,13.79,1.33,0.69,6.1,22.11
ODNR_1,7/6/2021,30.5,57,25.8,9.51,391.6,397.2,8.84,-126,11.61,1.28,0.66,5.04,18.91
ODNR_1_Sed,7/6/2021,,,25.51,8.69,400.5,403.5,8.61,-121.2,36.57,1.38,0.75,6.61,24.89
EC_1163,7/6/2021,31.1,61,25.56,9.48,383.2,384.6,8.82,-124.7,11.77,1.43,0.81,5.62,20.77
Bells,7/6/2021,30,128,24.53,10.23,278.8,275.2,9.05,-136.9,2.88,0.12,-0.52,1.31,4.15
Muddy_Creek,7/12/2021,22.78,25,23.23,8.57,406.1,392.4,8.79,-122.3,36.41,2.46,1.88,15.22,57.04
ODNR_4,7/12/2021,23.89,31,23.37,7.87,463.4,449.7,8.69,-117.1,23.41,3.38,2.82,17.01,65.25
ODNR_4_Sed,7/12/2021,,,23.45,7.34,464.2,449.8,8.55,-108.1,31.68,2.9,2.29,16.05,60.02
ODNR_6,7/12/2021,23.89,44,23.99,7.26,474.4,465,8.41,-100.9,15.13,2.06,1.37,8.43,32.2
ODNR_6_Sed,7/12/2021,,,23.87,6.04,474.5,463.3,8.21,-88.9,22.64,1.25,0.64,7.82,27.03
Bridge,7/12/2021,25,47,24.08,6.47,461,452.1,8.36,-97.8,15.38,1.79,1.15,5.83,21.59
ODNR_2,7/12/2021,25,45,24.06,7.91,428.7,420.8,8.55,-108.5,18.29,1.55,0.93,5.78,21.12
ODNR_2_Sed,7/12/2021,,,23.97,7.65,429,420.1,8.47,-104.2,19.38,1.38,0.75,4.86,19.52
Buoy_2,7/12/2021,25,59,23.97,8.17,392.6,386.2,8.6,-111.5,10.06,1.5,0.88,5.19,21.01
ODNR_1,7/12/2021,25,72,24.06,8.33,401.2,393.9,8.63,-113.2,8.29,1.55,0.93,4.82,23.77
ODNR_1_Sed,7/12/2021,,,23.95,6.67,388.8,379.6,8.33,-95.7,12.23,0.98,0.35,3.71,17.18
EC_1163,7/12/2021,23.89,73,23.97,7.55,349.6,342.7,8.54,-108.3,10.77,1.34,0.72,4.09,15.47
Bells,7/12/2021,,,,,,,,,,,,,
Muddy_Creek,7/19/2021,23.89,11,23.27,7.12,266.4,257.7,,,92.17,0.23,-0.41,1.36,5.05
ODNR_4,7/19/2021,25,13,23.67,6.42,264.6,258.1,,,112.61,0.26,-0.38,1.78,6.58
ODNR_4_Sed,7/19/2021,,,,,,,,,,,,,
ODNR_6,7/19/2021,25,28,25.8,25.8,469.8,477.2,,,16.4,2.47,1.91,12.86,49.28
ODNR_6_Sed,7/19/2021,,,25.4,25.4,478.3,481.5,,,19.06,0,2.34,16.5,69.3
Bridge,7/19/2021,26.1,19,25.49,25.49,454.8,459.1,,,21,3.63,3.12,14.07,55.18
ODNR_2,7/19/2021,26.1,45,25.86,25.86,436.1,443.2,,,15.22,2.04,1.49,8.53,32.18
ODNR_2_Sed,7/19/2021,,,25.91,25.91,438.7,446.4,,,14.51,2.03,1.45,9.47,36.33
Buoy_2,7/19/2021,26.1,51,25.93,25.93,423.7,431.4,,,10.05,2.38,1.76,9.77,37.19
ODNR_1,7/19/2021,26.1,56,26.37,26.37,410.6,421.4,,,8.48,1.45,0.85,8.03,30.11
ODNR_1_Sed,7/19/2021,,,25.2,25.2,417.5,419.1,,,12.59,1.36,0.75,5.84,22.59
EC_1163,7/19/2021,26.1,68,26.54,26.54,404.7,416.8,,,9.63,1.32,0.7,5.51,21.94
Bells,7/19/2021,27.22,140,27.26,27.26,260.7,272,,,2.95,-0.08,-0.73,0.6,1.89
Muddy_Creek,7/26/2021,25.56,24,24.8,7.29,331.8,331.5,,,48.41,1.82,1.16,2.4,28.04
ODNR_4,7/26/2021,26.67,27,25.23,8.09,298.4,300.1,,,34.13,1.12,0.48,7.12,28.23
ODNR_4_Sed,7/26/2021,,,24.72,5.84,293.9,291.8,,,58.8,0.8,0.19,6.15,22.08
ODNR_6,7/26/2021,26.67,30,25.46,10.43,368.4,371.8,,,15.02,1.99,1.38,14.03,53.75
ODNR_6_Sed,7/26/2021,,,25.32,8.95,377.3,378.6,,,16.78,1.5,0.88,11.61,41.66
Bridge,7/26/2021,27.78,41,26.01,9.49,443.3,451.8,,,17.59,2.22,1.57,13.74,51.16
ODNR_2,7/26/2021,28.33,50,26.38,9.14,465.9,475.9,,,12.3,1.2,0.68,7.55,29.19
ODNR_2_Sed,7/26/2021,,,25.31,5.82,468.4,471.2,,,19.34,1.21,0.69,7.01,29.28
Buoy_2,7/26/2021,27.78,52,26.18,9.78,455.8,468.4,,,8.47,1.23,0.59,6.58,25.31
ODNR_1,7/26/2021,28.33,53,26.65,11.22,426.8,440.7,,,7.79,1.65,1.03,8.85,35.15
ODNR_1_Sed,7/26/2021,,,25.41,7.9,413,415.7,,,12.63,1.77,1.14,8.15,82.46
EC_1163,7/26/2021,28.89,74,26.24,10.52,345.4,353.6,,,4.95,1.03,0.38,4.99,17.97
Bells,7/26/2021,28.89,25,26.57,11.31,276.2,284.4,,,1.55,0.38,-0.26,1.52,5.52
Muddy_Creek,8/2/2021,21.11,26,23.42,8.96,355.2,344.7,10.5,-203.2,52.77,3.52,2.91,23.37,86.28
ODNR_4,8/2/2021,21.11,31,23.46,9.37,302.7,293.9,10.67,-214.4,34.09,4.29,3.71,27.5,96.58
ODNR_4_Sed,8/2/2021,,,23.49,9.41,302.7,293.9,10.55,-209.1,37.95,4.18,3.62,29.04,110.07
ODNR_6,8/2/2021,22.22,35,23.96,8.52,419.4,411.3,10.35,-19.3,4,3.99,3.38,16.53,67.39
ODNR_6_Sed,8/2/2021,,,24.09,8.31,419.2,411.6,10.15,-186.4,27.19,3.62,3.04,17.54,77.28
Bridge,8/2/2021,22.22,43,24.22,7.31,443.3,436.8,9.77,-165.7,23.67,2.09,1.49,9.33,35.32
ODNR_2,8/2/2021,22.78,45,24.31,8.29,441.3,435.2,10.04,-181.1,17.7,2.24,1.63,8.89,34.89
ODNR_2_Sed,8/2/2021,,,24.22,7.48,442.4,434.4,9.94,-177.7,21.28,2.05,1.46,11.35,38
Buoy_2,8/2/2021,22.22,55,24.64,8.39,434.3,430.6,9.97,-177.3,11.04,1.57,0.93,4.94,17.72
ODNR_1,8/2/2021,22.78,73,24.55,8.64,441.7,437.7,9.94,-178.7,10.18,1.72,1.09,5.34,19.99
ODNR_1_Sed,8/2/2021,,,24.12,7.67,448.9,441.2,9.99,-177.3,12.87,1.75,1.14,6.82,26.02
EC_1163,8/2/2021,22.78,68,24.98,10.34,352.8,352.5,10.53,-207.7,9.8,2.56,1.98,9.85,38.4
Bells,8/2/2021,22.78,139,25.6,9.73,257.5,260.6,10.33,-193.4,3.14,0.36,-0.31,1.46,6.37
Muddy_Creek,8/9/2021,26.11,21,25.96,7.37,334.1,341.5,9.66,-165.4,60.34,4.17,3.59,20.09,84.54
ODNR_4,8/9/2021,27.22,33,25.69,8.27,313.6,317.7,9.9,-173.3,30.89,3.92,3.24,22.92,88.34
ODNR_4_Sed,8/9/2021,,,25.68,8.12,313.7,317.6,10.04,-182.4,32.65,3.89,3.26,21.73,80.48
ODNR_6,8/9/2021,27.78,35,25.61,6.98,405.5,410.2,9.77,-168,24.99,2.18,1.55,10.87,39.18
ODNR_6_Sed,8/9/2021,,,25.6,6.77,407.7,412,9.77,-161.7,26.55,1.97,1.33,11.27,43.35
Bridge,8/9/2021,28.89,42,26.05,6.62,413.9,422.4,9.59,-156.5,19.96,1.63,0.99,7.99,30.79
ODNR_2,8/9/2021,28.89,68,25.68,8.11,411,416.4,9.82,-169.3,12.85,1.77,1.17,5.81,21.83
ODNR_2_Sed,8/9/2021,,,25.69,7.74,412.1,417.1,9.85,-171.6,13.79,1.69,1.07,6.32,26.13
Buoy_2,8/9/2021,28.89,70,25.7,8.78,371.8,376.4,10,-180.1,10.96,1.75,1.1,6.76,21.62
ODNR_1,8/9/2021,30,73,25.82,8.92,382.1,388.2,10.03,-180.5,9.57,1.77,1.13,5.34,22.47
ODNR_1_Sed,8/9/2021,,,25.77,8.66,388.6,394.2,10.05,-181.1,9.73,1.79,1.18,6.07,22.95
EC_1163,8/9/2021,30,65,25.92,9.23,349.3,355.4,10,-181.6,11.21,1.95,1.35,6.72,25.37
Bells,8/9/2021,31.11,126,25.42,9.58,261.3,263.3,10.08,-184,1.19,0.54,-0.04,1.6,5.44
Muddy_Creek,8/16/2021,21.11,15,23.35,7.1,401.7,388.9,9.3,-139.5,53.35,4.4,4.08,20.87,82.52
ODNR_4,8/16/2021,21.11,23,23.29,7.6,360.8,348.8,9.32,-140.3,54.64,5.48,4.9,24.64,93.15
ODNR_4_Sed,8/16/2021,,,,,,,,,,,,,
ODNR_6,8/16/2021,21.11,28,23.15,7.43,399.6,385.5,9.32,-140.3,26.35,2.38,1.76,8.04,30.37
ODNR_6_Sed,8/16/2021,,,,,,,,,,,,,
Bridge,8/16/2021,21.11,35,23.31,7.52,389.4,376.7,9.47,-148.8,23.1,2.19,1.59,8.63,32.65
ODNR_2,8/16/2021,21.11,37,23.37,7.8,436.4,422.6,9.28,-138,22.05,2.56,1.94,6.73,25.74
ODNR_2_Sed,8/16/2021,,,23.72,7.96,438.3,427.8,9.21,-137.7,22.8,2.83,2.25,7.25,27.01
Buoy_2,8/16/2021,21.11,53,23.93,8.44,404.2,395.9,9.96,-176.7,14.95,2.85,2.24,8.5,32.17
ODNR_1,8/16/2021,21.11,50,23.86,8.73,397.7,389,9.54,-152.5,14.43,2.74,2.11,8.25,30.51
ODNR_1_Sed,8/16/2021,,,23.9,8.78,388.8,380.7,9.98,-177.9,12.76,2.64,2.02,8.14,31.66
EC_1163,8/16/2021,22.22,64,23.86,8.44,373.5,365.4,9.82,-169.9,11.94,2.94,2.42,9.7,37.25
Bells,8/16/2021,22.22,114,23.62,8.85,270.9,263.8,9.81,-168.9,5.56,1.41,0.82,5.01,16.8
Muddy_Creek,8/23/2021,23.89,29,27.99,7.29,525,555,9.8,-180.7,36.73,1.96,1.33,9.26,35.66
ODNR_4,8/23/2021,26.11,40,27.9,7.51,435.7,459.8,10.32,-199.6,20.56,1.85,1.24,8.57,32.79
ODNR_4_Sed,8/23/2021,,,27.85,6.13,434.9,457.3,10.31,-199.3,32.14,1.77,1.14,8.88,34.02
ODNR_6,8/23/2021,27.22,41,26.67,7.12,409.4,422.3,10.13,-188.3,18.51,1.75,1.13,7.44,27.98
ODNR_6_Sed,8/23/2021,,,26.64,6.11,420.8,431.6,10.12,-187,24.91,1.72,1.12,9.48,40.12
Bridge,8/23/2021,27.22,48,26.84,5.92,383.7,391.2,9.96,-176.8,16.92,1.76,1.14,6.12,23.49
ODNR_2,8/23/2021,27.22,54,27.27,9.17,384.4,401.2,10.34,-199.6,10.24,2.29,1.66,5.75,21.54
ODNR_2_Sed,8/23/2021,,,26.97,6.38,390.7,404.6,10.29,-197.3,25.98,1.62,0.99,5.94,22.77
Buoy_2,8/23/2021,27.22,65,27.02,8.83,379.4,394.1,10.28,-196.4,9.05,1.99,1.39,6.02,23.06
ODNR_1,8/23/2021,27.22,67,26.82,9.09,631.4,373.4,10.3,-197.4,7.54,1.66,1.04,5.99,22.7
ODNR_1_Sed,8/23/2021,,,26.78,6.13,378.6,388.3,10.27,-195.8,16.27,1.93,1.31,7.65,30.49
EC_1163,8/23/2021,27.22,67,26.7,8.97,336.4,349,10.3,-198.7,7.41,1.53,0.92,5.79,21.71
Bells,8/23/2021,27.22,147,26.59,10.46,253.7,261.4,10.52,-208.6,1.54,0.32,-0.31,1.33,5.29
Muddy_Creek,8/30/2021,23.89,28,27.17,6.77,580,604,9.41,-147.3,36.62,2.54,1.95,14.09,51.3
ODNR_4,8/30/2021,26.11,35,27.11,7.24,444,462,9.52,-153.1,25.83,2.81,2.22,15.37,58.34
ODNR_4_Sed,8/30/2021,,,27.09,6.64,444.6,462.1,9.65,-161.3,38.17,2.89,2.31,15.17,58.35
ODNR_6,8/30/2021,26.11,38,27.27,7.61,416.4,435.4,9.6,-158.7,30.54,2.24,1.64,10.33,38.18
ODNR_6_Sed,8/30/2021,,,27.22,6.52,417.4,432.2,9.76,-166.4,46.28,2.16,1.54,11.38,42.09
Bridge,8/30/2021,26.11,43,27.43,7.47,394.4,412.7,9.67,-160.6,25.32,2.95,2.39,9.78,36.99
ODNR_2,8/30/2021,27.22,51,27.63,8.41,387.9,408.1,10.04,-182.4,14.04,3.01,2.38,9.15,35.22
ODNR_2_Sed,8/30/2021,,,27.87,7.86,388.7,408.4,10.12,-186.2,15.86,2.7,2.08,9.03,32.05
Buoy_2,8/30/2021,27.78,53,27.81,8.3,373.6,393.6,10.13,-188.1,11.94,2.96,2.36,9.78,37.39
ODNR_1,8/30/2021,27.22,63,28.22,9.82,346,367.2,10.38,-201.9,9.09,2.66,2.04,8.73,33.19
ODNR_1_Sed,8/30/2021,,,27.44,7.37,367.1,384.1,10.19,-193.2,20.43,2.78,2.19,10.08,38.39
EC_1163,8/30/2021,27.78,67,27.62,9.36,339.2,356,10.01,-182.1,9.59,2.84,2.26,8.22,32.46
Bells,8/30/2021,,,,,,,,,,,,,
Muddy_Creek,9/7/2021,20,25,22,8.69,553,521,8.84,-111,42.64,29.56,2.5,16.39,62.27
ODNR_4,9/7/2021,21.11,27,22.08,8.83,427.7,403.8,8.91,-113.6,26.6,2.67,2.07,10.98,41.06
ODNR_4_Sed,9/7/2021,,,22.33,8.89,425.4,403.7,9.19,-131.2,23.41,2.62,2.15,9.53,37.23
ODNR_6,9/7/2021,22.78,45,22.34,8.26,412.3,391.4,9.68,-160,18.87,2.18,1.56,8.06,30.64
ODNR_6_Sed,9/7/2021,,,22.53,8.16,413.4,394.3,9.22,-135.1,15.86,2.45,1.71,7.69,30.2
Bridge,9/7/2021,23.89,58,22.84,8.04,415.2,398,9.16,-127,16.25,2.37,1.76,8.06,30.76
ODNR_2,9/7/2021,25,44,23.12,8.91,370.2,357,9.26,-138.8,11.9,2.59,2,6.68,25.03
ODNR_2_Sed,9/7/2021,,,23.33,8.69,371.4,359.7,9.45,-145,14.41,2.57,1.96,7.06,26.52
Buoy_2,9/7/2021,26.11,40,23.31,8.99,336.8,325.3,9.42,-143.6,13.02,2.4,1.81,7.91,29.11
ODNR_1,9/7/2021,26.11,50,23.18,9.01,331.7,320.4,9.75,-165.1,9.03,2.29,1.82,7.19,26.8
ODNR_1_Sed,9/7/2021,,,23.17,8.98,334,322.5,9.34,-144.2,10.24,2.36,1.72,7.08,25.43
EC_1163,9/7/2021,27.22,60,23.36,8.96,322.5,312.7,9.79,-167.3,8.49,1.83,1.24,4.99,20.24
Bells,9/7/2021,27.22,80,24.16,9.41,267.3,263.2,9.65,-160.5,5.22,2.97,2.38,5.04,9.4
Muddy_Creek,9/13/2021,22.78,25,22.1,7.18,548,517,9.51,-149,44.17,2.47,1.87,10.97,40.6
ODNR_4,9/13/2021,23.33,40,22.1,8.34,443.1,418.5,9.81,-167,20.31,2.67,2.06,9.45,35.61
ODNR_4_Sed,9/13/2021,,,22.03,7.74,447.9,422.5,9.81,-167.6,32.11,2.74,2.15,12.83,44.6
ODNR_6,9/13/2021,24.44,32,21.93,7.94,419.2,394.9,9.63,-155.5,29.57,2.48,1.89,9.01,34.68
ODNR_6_Sed,9/13/2021,,,21.9,7.43,419.8,394.9,9.57,-135.4,43.28,2.46,1.86,9.27,34.83
Bridge,9/13/2021,,,,,,,,,,,,,
ODNR_2,9/13/2021,24.44,50,22.48,9.23,319.3,304.1,10.2,-189.2,13.29,2.28,1.66,6.85,26.73
ODNR_2_Sed,9/13/2021,,,22.23,8.25,323.3,306.2,10.24,-191.7,109.7,2.3,1.72,7.59,32.04
Buoy_2,9/13/2021,,,,,,,,,,,,,
ODNR_1,9/13/2021,,,,,,,,,,,,,
