sample,date,type,analytical_rep,sample_conc,df,final_conc (ug/L),average (ug/L),comments
ODNR 2 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.08,1,0.08,0.1,
Bouy 2 Total Toxins 6/3/25,06/03/2025,Total,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Total Toxins 6/3/25,06/03/2025,Total,2,0.09,1,0.09,0.11,
Bouy 2 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.05,1,0.05,0.05,
ODNR 1 Total Toxins 6/3/25,06/03/2025,Total,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Total Toxins 6/3/25,06/03/2025,Total,2,0.08,1,0.08,0.07,
ODNR 1 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.12,1,0.12,0.11,
EC 1163 Total Toxins 6/3/25,06/03/2025,Total,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Total Toxins 6/3/25,06/03/2025,Total,2,0.04,1,0.04,0.04,
EC 1163 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.06,1,0.06,0.06,
Causeway Total Toxins 6/3/25,06/03/2025,Total,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Causeway Total Toxins 6/3/25,06/03/2025,Total,2,0.05,1,0.05,0.09,
Causeway Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.03,1,0.03,0.03,
Bells Total Toxins 6/3/25,06/03/2025,Total,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bells Total Toxins 6/3/25,06/03/2025,Total,2,Invalid,1,Error,Error,
Bells Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,Invalid,1,Error,Error,
Muddy Creek Total Toxins 6/10/25,06/10/2025,Total,1,0.12,1,0.12,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 6/10/25,06/10/2025,Total,2,0.11,1,0.11,0.12,
Muddy Creek Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.04,1,0.04,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.1,1,0.1,0.07,
ODNR 4 Total Toxins 6/10/25,06/10/2025,Total,1,0.16,1,0.16,,
ODNR 4 Total Toxins 6/10/25,06/10/2025,Total,2,0.14,1,0.14,0.15,
ODNR 4 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.15,1,0.15,0.12,
ODNR 6 Total Toxins 6/10/25,06/10/2025,Total,1,0.21,1,0.21,,
ODNR 6 Total Toxins 6/10/25,06/10/2025,Total,2,0.31,1,0.31,0.26,
ODNR 6 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.15,1,0.15,0.13,
Bridge Total Toxins 6/10/25,06/10/2025,Total,1,0.19,1,0.19,,
Bridge Total Toxins 6/10/25,06/10/2025,Total,2,0.24,1,0.24,0.21,
Bridge Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.13,1,0.13,0.13,
ODNR 2 Total Toxins 6/10/25,06/10/2025,Total,1,0.23,1,0.23,,
ODNR 2 Total Toxins 6/10/25,06/10/2025,Total,2,0.09,1,0.09,0.16,
ODNR 2 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.09,1,0.09,0.08,
Bouy 2 Total Toxins 6/10/25,06/10/2025,Total,1,0.52,1,0.52,,
Bouy 2 Total Toxins 6/10/25,06/10/2025,Total,2,0.56,1,0.56,0.54,
Bouy 2 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
Bouy 2 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.17,1,0.17,0.13,
ODNR 1 Total Toxins 6/10/25,06/10/2025,Total,1,0.2,1,0.2,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Total Toxins 6/10/25,06/10/2025,Total,2,0.1,1,0.1,0.15,
ODNR 1 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,0.06,1,0.06,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.06,1,0.06,0.06,
EC 1163 Total Toxins 6/10/25,06/10/2025,Total,1,0.07,1,0.07,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Total Toxins 6/10/25,06/10/2025,Total,2,0.1,1,0.1,0.08,
EC 1163 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,3,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Dissolved Toxins 6/10/25,06/10/2025,Dissolved,4,0.14,1,0.14,0.12,
Causeway Total Toxins 6/10/25,06/10/2025,Total,1,0.14,1,0.14,,"LESS than Standard 1, outside of quantifiable range"
Causeway Total Toxins 6/10/25,06/10/2025,Total,2,0.11,1,0.11,0.13,
Causeway Dissolved Toxins 6/10/25,06/10/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 6/10/25,06/10/2025,Dissolved,2,0.03,1,0.03,0.03,
Muddy Creek Total Toxins 6/17/25,06/17/2025,Total,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 6/17/25,06/17/2025,Total,2,0.07,1,0.07,0.08,
Muddy Creek Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.08,1,0.08,0.08,
ODNR 4 Total Toxins 6/17/25,06/17/2025,Total,1,0.22,1,0.22,,
ODNR 4 Total Toxins 6/17/25,06/17/2025,Total,2,0.25,1,0.25,0.23,
ODNR 4 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.18,1,0.18,,
ODNR 4 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.17,1,0.17,0.18,
ODNR 6 Total Toxins 6/17/25,06/17/2025,Total,1,0.15,1,0.15,,
ODNR 6 Total Toxins 6/17/25,06/17/2025,Total,2,0.23,1,0.23,0.19,
ODNR 6 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.23,1,0.23,,
ODNR 6 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.18,1,0.18,0.2,
Bridge Total Toxins 6/17/25,06/17/2025,Total,1,0.22,1,0.22,,
Bridge Total Toxins 6/17/25,06/17/2025,Total,2,0.14,1,0.14,0.18,
ODNR 2 Total Toxins 6/17/25,06/17/2025,Total,1,0.22,1,0.22,,
ODNR 2 Total Toxins 6/17/25,06/17/2025,Total,2,0.24,1,0.24,0.23,
ODNR 2 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.17,1,0.17,,
ODNR 2 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.15,1,0.15,0.16,
Bouy 2 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.14,1,0.14,,
Bouy 2 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.24,1,0.24,0.19,
ODNR 1 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.2,1,0.2,,"LESS than Standard 1, outside of quantifiable range"
ODNR 1 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.1,1,0.1,0.15,
EC 1163 Total Toxins 6/17/25,06/17/2025,Total,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
EC 1163 Total Toxins 6/17/25,06/17/2025,Total,2,0.16,1,0.16,0.13,
EC 1163 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.56,1,0.56,,
EC 1163 Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.49,1,0.49,0.52,
Causeway Total Toxins 6/17/25,06/17/2025,Total,1,0.16,1,0.16,,"LESS than Standard 1, outside of quantifiable range"
Causeway Total Toxins 6/17/25,06/17/2025,Total,2,0.11,1,0.11,0.13,
Causeway Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
Causeway Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.08,1,0.08,0.1,
Bells Dissolved Toxins 6/17/25,06/17/2025,Dissolved,1,0.05,1,0.05,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 6/17/25,06/17/2025,Dissolved,2,0.04,1,0.04,0.05,
Muddy Creek Total Toxins 6/24/25,06/24/2025,Total,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 6/24/25,06/24/2025,Total,2,0.08,1,0.08,0.09,
Muddy Creek Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.16,1,0.16,0.13,
ODNR 4 Total Toxins 6/24/25,06/24/2025,Total,1,0.14,1,0.14,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Total Toxins 6/24/25,06/24/2025,Total,2,0.14,1,0.14,0.14,
ODNR 4 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.1,1,0.1,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.14,1,0.14,0.12,
ODNR 6 Total Toxins 6/24/25,06/24/2025,Total,1,0.41,1,0.41,,
ODNR 6 Total Toxins 6/24/25,06/24/2025,Total,2,0.39,1,0.39,0.4,
ODNR 6 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.17,1,0.17,,
ODNR 6 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.18,1,0.18,0.18,
Bridge Total Toxins 6/24/25,06/24/2025,Total,1,0.41,1,0.41,,
Bridge Total Toxins 6/24/25,06/24/2025,Total,2,0.4,1,0.4,0.41,
Bridge Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.22,1,0.22,,
Bridge Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.16,1,0.16,0.19,
ODNR 2 Total Toxins 6/24/25,06/24/2025,Total,1,0.17,1,0.17,,
ODNR 2 Total Toxins 6/24/25,06/24/2025,Total,2,0.24,1,0.24,0.2,
ODNR 2 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.19,1,0.19,,
ODNR 2 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.15,1,0.15,0.17,
Bouy 2 Total Toxins 6/24/25,06/24/2025,Total,1,0.16,1,0.16,,
Bouy 2 Total Toxins 6/24/25,06/24/2025,Total,2,0.16,1,0.16,0.16,
Bouy 2 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.21,1,0.21,,
Bouy 2 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.19,1,0.19,0.2,
ODNR 1 Total Toxins 6/24/25,06/24/2025,Total,1,0.23,1,0.23,,
ODNR 1 Total Toxins 6/24/25,06/24/2025,Total,2,0.21,1,0.21,0.22,
ODNR 1 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.15,1,0.15,,
ODNR 1 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.18,1,0.18,0.16,
EC 1163 Total Toxins 6/24/25,06/24/2025,Total,1,0.28,1,0.28,,
EC 1163 Total Toxins 6/24/25,06/24/2025,Total,2,0.3,1,0.3,0.29,
EC 1163 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,3,0.18,1,0.18,,
EC 1163 Dissolved Toxins 6/24/25,06/24/2025,Dissolved,4,0.21,1,0.21,0.19,
Causeway Total Toxins 6/24/25,06/24/2025,Total,1,0.34,1,0.34,,
Causeway Total Toxins 6/24/25,06/24/2025,Total,2,0.26,1,0.26,0.3,
Causeway Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.11,1,0.11,,
Causeway Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.76,1,0.76,0.43,
Bells Total Toxins 6/24/25,06/24/2025,Total,1,0.13,1,0.13,,"LESS than Standard 1, outside of quantifiable range"
Bells Total Toxins 6/24/25,06/24/2025,Total,2,0.11,1,0.11,0.12,
Bells Dissolved Toxins 6/24/25,06/24/2025,Dissolved,1,0.11,1,0.11,,"LESS than Standard 1, outside of quantifiable range"
Bells Dissolved Toxins 6/24/25,06/24/2025,Dissolved,2,0.1,1,0.1,0.11,
Muddy Creek Total 7/1,07/01/2025,Total,1,0.2,1,0.2,,
Muddy Creek Total 7/1,07/01/2025,Total,2,0.2,1,0.2,0.2,
Muddy Creek Dissolved 7/1,07/01/2025,Dissolved,1,0.17,1,0.17,,
Muddy Creek Dissolved 7/1,07/01/2025,Dissolved,2,0.17,1,0.17,0.17,
ODNR 4 Total 7/1,07/01/2025,Total,1,0.3,1,0.3,,
ODNR 4 Total 7/1,07/01/2025,Total,2,0.42,1,0.42,0.36,
ODNR 4 Dissolved 7/1,07/01/2025,Dissolved,1,0.24,1,0.24,,
ODNR 4 Dissolved 7/1,07/01/2025,Dissolved,2,0.29,1,0.29,0.26,
ODNR 6 Total 7/1,07/01/2025,Total,1,1.44,1,1.44,,
ODNR 6 Total 7/1,07/01/2025,Total,2,1.29,1,1.29,1.36,
ODNR 6 Dissolved 7/1,07/01/2025,Dissolved,1,0.28,1,0.28,,
ODNR 6 Dissolved 7/1,07/01/2025,Dissolved,2,0.28,1,0.28,0.28,
Bridge Total 7/1,07/01/2025,Total,1,0.69,1,0.69,,
Bridge Total 7/1,07/01/2025,Total,2,1.03,1,1.03,0.86,
Bridge Dissolved 7/1,07/01/2025,Dissolved,1,0.21,1,0.21,,
Bridge Dissolved 7/1,07/01/2025,Dissolved,2,0.4,1,0.4,0.3,
ODNR 2 Total 7/1,07/01/2025,Total,1,0.48,1,0.48,,
ODNR 2 Total 7/1,07/01/2025,Total,2,0.52,1,0.52,0.5,
ODNR 2 Dissolved 7/1,07/01/2025,Dissolved,1,0.25,1,0.25,,
ODNR 2 Dissolved 7/1,07/01/2025,Dissolved,2,0.28,1,0.28,0.27,
Buoy 2 Total 7/1,07/01/2025,Total,1,0.63,1,0.63,,
Buoy 2 Total 7/1,07/01/2025,Total,2,0.76,1,0.76,0.7,
Buoy 2 Dissolved 7/1,07/01/2025,Dissolved,1,0.26,1,0.26,,
Buoy 2 Dissolved 7/1,07/01/2025,Dissolved,2,0.25,1,0.25,0.25,
ODNR 1 Total 7/1,07/01/2025,Total,1,0.66,1,0.66,,
ODNR 1 Total 7/1,07/01/2025,Total,2,0.71,1,0.71,0.68,
ODNR 1 Dissolved 7/1,07/01/2025,Dissolved,1,0.29,1,0.29,,
ODNR 1 Dissolved 7/1,07/01/2025,Dissolved,2,0.25,1,0.25,0.27,
EC 1163 Total 7/1,07/01/2025,Total,1,1.23,1,1.23,,
EC 1163 Total 7/1,07/01/2025,Total,2,1.25,1,1.25,1.24,
EC 1163 Dissolved 7/1,07/01/2025,Dissolved,1,0.29,1,0.29,,
EC 1163 Dissolved 7/1,07/01/2025,Dissolved,2,0.26,1,0.26,0.28,
Causeway Total 7/1,07/01/2025,Total,1,0.39,1,0.39,,
Causeway Total 7/1,07/01/2025,Total,2,0.35,1,0.35,0.37,
Bells Total 7/1,07/01/2025,Total,1,0.54,1,0.54,,
Bells Total 7/1,07/01/2025,Total,2,0.54,1,0.54,0.54,
Bells Dissolved 7/1,07/01/2025,Dissolved,1,0.16,1,0.16,,
Bells Dissolved 7/1,07/01/2025,Dissolved,2,0.2,1,0.2,0.18,
Muddy Creek Total 7/8,07/08/2025,Total,1,0.24,1,0.24,,
Muddy Creek Total 7/8,07/08/2025,Total,2,0.3,1,0.3,0.27,
Muddy Creek Dissolved 7/8,07/08/2025,Dissolved,1,0.29,1,0.29,,
Muddy Creek Dissolved 7/8,07/08/2025,Dissolved,2,0.33,1,0.33,0.31,
ODNR 4 Total 7/8,07/08/2025,Total,1,0.32,1,0.32,,
ODNR 4 Total 7/8,07/08/2025,Total,2,0.37,1,0.37,0.34,
ODNR 4 Dissolved 7/8,07/08/2025,Dissolved,1,0.38,1,0.38,,
ODNR 4 Dissolved 7/8,07/08/2025,Dissolved,2,0.42,1,0.42,0.4,
ODNR 6 Total 7/8,07/08/2025,Total,1,0.84,1,0.84,,
ODNR 6 Total 7/8,07/08/2025,Total,2,1.08,1,1.08,0.96,
ODNR 6 Dissolved 7/8,07/08/2025,Dissolved,1,0.25,1,0.25,,
ODNR 6 Dissolved 7/8,07/08/2025,Dissolved,2,0.26,1,0.26,0.26,
Bridge Dissolved 7/8,07/08/2025,Dissolved,1,2.51,1,2.51,,
Bridge Dissolved 7/8,07/08/2025,Dissolved,2,2.87,1,2.87,2.69,
ODNR 2 Dissolved 7/8,07/08/2025,Dissolved,1,0.35,1,0.35,,
ODNR 2 Dissolved 7/8,07/08/2025,Dissolved,2,0.36,1,0.36,0.36,
Buoy 2 Total 7/8,07/08/2025,Total,1,Invalid,1,Error,,"GREATER than Standard 5, outside of quantifiable range"
Buoy 2 Total 7/8,07/08/2025,Total,2,9.18,1,9.18,9.18,
Buoy 2 Dissolved 7/8,07/08/2025,Dissolved,1,0.37,1,0.37,,
Buoy 2 Dissolved 7/8,07/08/2025,Dissolved,2,0.37,1,0.37,0.37,
ODNR 1 Total 7/8,07/08/2025,Total,1,1.79,1,1.79,,
ODNR 1 Total 7/8,07/08/2025,Total,2,1.32,1,1.32,1.55,
ODNR 1 Dissolved 7/8,07/08/2025,Dissolved,1,0.26,1,0.26,,
ODNR 1 Dissolved 7/8,07/08/2025,Dissolved,2,0.3,1,0.3,0.28,
EC 1163 Total 7/8,07/08/2025,Total,1,3.61,1,3.61,,
EC 1163 Total 7/8,07/08/2025,Total,2,4.55,1,4.55,4.08,
EC 1163 Dissolved 7/8,07/08/2025,Dissolved,1,0.29,1,0.29,,
EC 1163 Dissolved 7/8,07/08/2025,Dissolved,2,0.33,1,0.33,0.31,
Causeway Dissolved 7/8,07/08/2025,Dissolved,1,0.3,1,0.3,,
Causeway Dissolved 7/8,07/08/2025,Dissolved,2,0.28,1,0.28,0.29,
Bells Dissolved 7/8,07/08/2025,Dissolved,1,0.22,1,0.22,,
Bells Dissolved 7/8,07/08/2025,Dissolved,2,0.24,1,0.24,0.23,
Muddy Creek Total Toxins 7/15/25,07/15/2025,Total,1,0.42,1,0.42,,
Muddy Creek Total Toxins 7/15/25,07/15/2025,Total,2,0.46,1,0.46,0.44,
Muddy Creek Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.36,1,0.36,,
Muddy Creek Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.38,1,0.38,0.37,
ODNR 4 Total Toxins 7/15/25,07/15/2025,Total,1,2.54,1,2.54,,
ODNR 4 Total Toxins 7/15/25,07/15/2025,Total,2,2.53,1,2.53,2.54,
ODNR 4 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.25,1,0.25,,
ODNR 4 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.23,1,0.23,0.24,
ODNR 6 Total Toxins 7/15/25,07/15/2025,Total,1,6.22,1,6.22,,
ODNR 6 Total Toxins 7/15/25,07/15/2025,Total,2,5.4,1,5.4,5.81,
ODNR 6 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.15,1,0.15,,
ODNR 6 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.26,1,0.26,0.21,
Bridge Total Toxins 7/15/25,07/15/2025,Total,1,4.86,1,4.86,,
Bridge Total Toxins 7/15/25,07/15/2025,Total,2,6.02,1,6.02,5.44,
Bridge Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.16,1,0.16,,
Bridge Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.22,1,0.22,0.19,
,,,,,,,,
,,,,,,,,
ODNR 2 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.28,1,0.28,,
ODNR 2 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.33,1,0.33,0.3,
Bouy 2 Total Toxins 7/15/25,07/15/2025,Total,1,2.21,1,2.21,,
Bouy 2 Total Toxins 7/15/25,07/15/2025,Total,2,2.21,1,2.21,2.21,
Bouy 2 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.16,1,0.16,,
Bouy 2 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.23,1,0.23,0.2,
ODNR 1 Total Toxins 7/15/25,07/15/2025,Total,1,2.96,1,2.96,,
ODNR 1 Total Toxins 7/15/25,07/15/2025,Total,2,3.22,1,3.22,3.09,
ODNR 1 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.19,1,0.19,,
ODNR 1 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.25,1,0.25,0.22,
EC 1163 Total Toxins 7/15/25,07/15/2025,Total,1,3.03,1,3.03,,
EC 1163 Total Toxins 7/15/25,07/15/2025,Total,2,3.17,1,3.17,3.1,
EC 1163 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,1,0.16,1,0.16,,
EC 1163 Dissolved Toxins 7/15/25,07/15/2025,Dissolved,2,0.18,1,0.18,0.17,
Causeway Total Toxins 7/15/25,07/15/2025,Total,1,2.59,1,2.59,,
Causeway Total Toxins 7/15/25,07/15/2025,Total,2,2.51,1,2.51,2.55,
Causeway Dissolved Toxins 7/15/25,7/15/2025,Dissolved,1,0.16,1,0.16,,
Causeway Dissolved Toxins 7/15/25,7/15/2025,Dissolved,2,0.22,1,0.22,0.19,
Bells Total Toxins 7/15/25,7/15/2025,Total,1,0.3,1,0.3,,
Bells Total Toxins 7/15/25,7/15/2025,Total,2,0.26,1,0.26,0.28,
Bells Dissolved Toxins 7/15/25,7/15/2025,Dissolved,1,0.17,1,0.17,,
Bells Dissolved Toxins 7/15/25,7/15/2025,Dissolved,2,0.11,1,0.11,0.14,
Jackson St. Pier Total Toxins 7/15/25,7/15/2025,Total,1,2.26,1,2.26,,
Jackson St. Pier Total Toxins 7/15/25,7/15/2025,Total,2,2.75,1,2.75,2.5,
Jackson St. Pier Dissolved Toxins 7/15/25,7/15/2025,Dissolved,1,0.2,1,0.2,,
Jackson St. Pier Dissolved Toxins 7/15/25,7/15/2025,Dissolved,2,0.12,1,0.12,0.16,
Muddy Creek Total Toxins 7/22/25,7/22/2025,Total,1,0.38,1,0.38,,
Muddy Creek Total Toxins 7/22/25,7/22/2025,Total,2,0.46,1,0.46,0.42,
Muddy Creek Dissolved Toxins 7/22/25,7/22/2025,Dissolved,1,0.2,1,0.2,,
Muddy Creek Dissolved Toxins 7/22/25,7/22/2025,Dissolved,2,0.16,1,0.16,0.18,
ODNR 4 Total Toxins 7/22/25,7/22/2025,Total,1,2.25,1,2.25,,
ODNR 4 Total Toxins 7/22/25,7/22/2025,Total,2,2.3,1,2.3,2.27,
ODNR 4 Dissolved Toxins 7/22/25,7/22/2025,Dissolved,1,0.22,1,0.22,,
ODNR 4 Dissolved Toxins 7/22/25,7/22/2025,Dissolved,2,0.27,1,0.27,0.24,
ODNR 6 Total Toxins 7/22/25,07/22/2025,Total,1,4.89,1,4.89,,
ODNR 6 Total Toxins 7/22/25,07/22/2025,Total,2,4.95,1,4.95,4.92,
ODNR 6 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.25,1,0.25,,
ODNR 6 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.21,1,0.21,0.23,
Bridge Total Toxins 7/22/25,07/22/2025,Total,1,2.9,1,2.9,,
Bridge Total Toxins 7/22/25,07/22/2025,Total,2,2.8,1,2.8,2.85,
Bridge Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.3,1,0.3,,
Bridge Dissolved Toxins 7/22/25,07/22/2025,Dissolved,2,0.32,1,0.32,0.31,
ODNR 2 Total Toxins 7/22/2025,07/22/2025,Total,1,1.67,1,1.67,,
ODNR 2 Total Toxins 7/22/2025,07/22/2025,Total,2,2.1,1,2.1,1.88,
ODNR 2 Dissolved Toxins 7/22/25,07/22/2025,Dissolved,1,0.29,1,0.29,,
